X,Y,Z,IR,RED,Heart Rate,Respiration Rate,SpO2
0.04,-0.17,1.04,262143,262143,7.751937985,12.19512195,80.139
0.03,-0.19,1.11,262143,262143,9.090909091,12.14574899,80.139
0.03,-0.17,1.05,262143,262143,11.71875,12.19512195,80.139
0.04,-0.19,1.05,262143,262143,14.92537313,12.19512195,80.139
0.06,-0.17,1.01,262143,262143,8.196721311,12.19512195,80.139
0.09,-0.17,1.06,262143,262143,8.547008547,12.19512195,80.139
0.04,-0.16,1.09,262143,262143,10.56338028,12.14574899,80.139
0.08,-0.17,1.09,262143,262143,10.2739726,12.19512195,80.139
0.04,-0.19,1.04,262143,262143,9.174311927,12.19512195,80.139
0,-0.17,1.06,262143,262143,10.98901099,11.36363636,80.139
0,-0.19,1.1,262143,262143,11.11111111,15.2284264,80.139
0.04,-0.16,1.06,262143,262143,10.48951049,14.70588235,80.139
0.01,-0.16,1.06,262143,262143,8.196721311,12.87553648,80.139
0.01,-0.16,1.02,262143,262143,9.090909091,12.5,80.139
0.06,-0.19,1.02,262143,262143,12.87553648,16.12903226,80.139
0.04,-0.19,1.09,262143,262143,11.76470588,13.10043668,80.139
0.05,-0.14,1.04,262143,262143,9.345794393,18.51851852,80.139
0.05,-0.17,1.02,262143,262143,8.571428571,16.21621622,80.139
0.08,-0.16,1.08,262143,262143,7.5,14.92537313,80.139
0.06,-0.17,1.02,262143,262143,7.575757576,13.88888889,80.139
0.05,-0.16,1.11,262143,262143,7.874015748,12.34567901,80.139
0.06,-0.15,1.04,262143,262143,10.03344482,14.77832512,80.139
0.03,-0.16,1.05,262143,262143,9.615384615,14.08450704,80.139
0.05,-0.15,1.02,262143,262143,11.27819549,17.44186047,80.139
0.05,-0.15,1.09,262143,262143,15.15151515,16.39344262,80.139
0.04,-0.16,1.09,262143,262143,8.152173913,18.40490798,80.139
0.04,-0.17,1.09,262143,262143,10.45296167,17.24137931,80.139
0.04,-0.16,1.01,262143,262143,11.32075472,19.86754967,80.139
0.06,-0.17,1.08,262143,262143,10.94890511,15.2284264,80.139
0.06,-0.16,1.1,262143,262143,11.11111111,12.98701299,80.139
0.05,-0.16,1.09,262143,262143,46.15384615,13.95348837,80.139
0.01,-0.17,1.02,262143,262143,13.82488479,22.05882353,80.139
0.03,-0.17,1.08,262143,262143,10.48951049,16.04278075,80.139
0.01,-0.15,1.05,262143,262143,10.23890785,12.87553648,80.139
0.04,-0.19,1.02,262143,262143,10.23890785,15.38461538,80.139
0.04,-0.17,1.09,262143,262143,10.16949153,17.04545455,80.139
0.06,-0.17,1.09,262143,262143,10.20408163,20.83333333,80.139
0.03,-0.17,1.06,262143,262143,14.5631068,17.75147929,80.139
0.08,-0.17,1.08,262143,262143,48.38709677,15.70680628,80.139
