X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,Mean HR,Mean RR,Mean SPO2
-0.1,0.05,0.82,11169,21300,54.54545455,13.76146789,94.84510288,5,47.62250483,14.3559639,95.45631087
-0.13,0.06,1.03,19917,42634,78.94736842,13.63636364,94.84392896,5,,,
-0.12,0.09,1.07,58332,74529,23.07692308,17.24137931,94.85053926,5,,,
-0.13,0.08,1.06,88520,107624,54.54545455,12.82051282,94.88917457,5,,,
-0.13,0.08,1.1,90390,134138,78.94736842,13.76146789,94.84130412,5,,,
-0.12,0.09,1.05,91878,135130,23.07692308,13.63636364,94.83771027,5,,,
-0.11,0.08,1.01,92457,135430,54.54545455,17.24137931,94.83757863,5,,,
-0.11,0.08,1,92775,135625,76.92307692,12.82051282,94.84099998,5,,,
-0.09,0.1,1,92921,135700,11.85770751,13.76146789,94.84355404,5,,,
-0.07,0.11,1.02,93094,135968,17.04545455,13.63636364,94.84260542,5,,,
-0.1,0.08,1,93285,136001,54.54545455,17.24137931,94.85623118,5,,,
-0.08,0.08,0.96,93313,135971,78.94736842,12.82051282,94.89412004,5,,,
-0.04,0.08,0.96,93401,136103,23.07692308,13.76146789,95.21804683,5,,,
-0.04,0.07,0.93,93534,136144,54.54545455,13.63636364,96.7269597,5,,,
-0.14,0.06,0.99,93590,136181,78.94736842,17.24137931,99.87667072,5,,,
-0.14,0.06,1.02,93615,136192,23.07692308,12.82051282,95.67034072,5,,,
-0.22,0.09,1.05,93655,136278,54.54545455,13.76146789,99.95674089,5,,,
-0.2,0.12,1.06,93753,136437,76.92307692,13.63636364,99.72482894,5,,,
-0.18,0.17,1.06,93799,136439,11.9047619,17.24137931,99.95665343,5,,,
-0.16,0.17,1.03,93851,136459,16.94915254,12.82051282,98.44343338,5,,,
-0.16,0.14,0.99,93825,136536,54.54545455,13.76146789,94.11550612,5,,,
-0.15,0.12,0.98,93986,136658,78.94736842,13.63636364,94.84284429,5,,,
-0.15,0.11,0.94,93973,136660,23.07692308,17.24137931,94.83607267,5,,,
-0.13,0.13,0.99,94008,136818,54.54545455,12.82051282,94.83753564,5,,,
-0.12,0.13,0.97,94082,136947,78.94736842,13.76146789,94.84073471,5,,,
-0.13,0.12,0.98,94175,136966,23.07692308,13.63636364,94.8417058,5,,,
-0.13,0.13,1.02,94179,136997,54.54545455,17.24137931,94.8426344,5,,,
-0.11,0.15,1.02,94145,137029,76.92307692,12.82051282,94.84755031,5,,,
-0.11,0.13,0.97,94320,137154,11.9047619,13.76146789,94.96402608,5,,,
-0.13,0.12,0.97,94373,137181,16.94915254,13.63636364,94.84256873,5,,,
-0.14,0.12,0.98,94328,137238,54.54545455,17.24137931,94.83607267,5,,,
-0.14,0.11,0.99,94389,137290,78.94736842,12.82051282,94.83753564,5,,,
-0.12,0.12,1.01,94372,137356,23.07692308,13.76146789,94.84073471,5,,,
-0.11,0.12,1.02,94449,137396,54.54545455,13.63636364,94.8417058,5,,,
-0.11,0.12,1.02,94465,137436,78.94736842,17.24137931,94.8426344,5,,,
-0.11,0.12,0.99,94503,137442,23.07692308,12.82051282,94.84755031,5,,,
-0.1,0.12,1.01,94407,137386,54.54545455,13.76146789,94.96402614,5,,,
-0.1,0.13,1.03,94534,137412,76.92307692,13.63636364,94.84199731,5,,,
-0.1,0.13,1.04,94519,137313,11.85770751,17.24137931,94.8436029,5,,,
-0.11,0.11,1.04,94504,137387,17.04545455,12.82051282,94.84066079,5,,,
-0.1,0.12,1.05,94438,137239,54.54545455,13.76146789,94.84343411,5,,,
-0.13,0.1,1,94356,137258,78.94736842,13.63636364,94.83735846,5,,,
-0.13,0.1,1,94353,137187,23.07692308,17.24137931,94.84491475,5,,,
-0.11,0.09,1.01,94243,137130,54.54545455,12.82051282,94.84695892,5,,,
-0.13,0.09,1.03,94278,137223,78.94736842,13.76146789,94.86070661,5,,,
-0.13,0.1,1.05,94462,137407,23.07692308,13.63636364,94.84036708,5,,,
-0.14,0.09,1.08,94460,137441,54.54545455,17.14285714,99.14658849,5,,,
-0.14,0.1,1.03,94461,137596,76.92307692,12.87553648,99.3347555,5,,,
-0.12,0.1,1.02,94697,137678,11.85770751,13.76146789,99.9455103,5,,,
-0.14,0.11,1.01,94716,137821,17.04545455,13.63636364,90.40633538,5,,,
-0.14,0.11,0.98,94793,137799,54.54545455,17.24137931,99.30183237,5,,,
-0.14,0.12,1.01,94880,137824,78.94736842,12.82051282,89.83984639,5,,,
-0.11,0.11,0.98,94848,137833,23.07692308,13.76146789,98.47765104,5,,,
-0.11,0.12,1.01,94932,137985,54.54545455,13.63636364,88.42499543,5,,,
-0.11,0.11,1.01,95006,137913,78.94736842,17.24137931,94.84303874,5,,,
-0.11,0.12,1.03,95011,137939,23.07692308,12.82051282,94.84456585,5,,,
-0.12,0.12,1.02,95032,137986,54.54545455,13.76146789,94.84051481,5,,,
-0.13,0.11,0.99,95201,138028,76.92307692,13.63636364,94.84320335,5,,,
-0.13,0.1,1,95142,138052,11.9047619,17.24137931,94.84414009,5,,,
-0.11,0.11,0.99,95199,138102,16.94915254,12.82051282,94.83759275,5,,,
-0.1,0.11,1.01,95202,137994,54.54545455,13.76146789,94.85189864,5,,,
-0.1,0.11,1.02,95100,138006,78.94736842,13.63636364,94.85098118,5,,,
-0.12,0.1,1,95246,138111,23.07692308,17.24137931,94.84299111,5,,,
-0.12,0.11,1.01,95266,138135,54.54545455,12.82051282,94.84456585,5,,,
-0.13,0.11,1.01,95344,138235,78.94736842,13.76146789,94.84051481,5,,,
-0.11,0.11,1,95412,138214,23.07692308,13.63636364,94.84320335,5,,,
-0.13,0.11,1,95380,138214,54.54545455,17.14285714,94.84414009,5,,,
-0.13,0.11,1.01,95465,138203,76.92307692,12.87553648,94.83759276,5,,,
-0.11,0.12,1.05,95460,138241,11.81102362,13.76146789,94.85189865,5,,,
-0.12,0.12,0.97,95482,138248,17.14285714,13.63636364,94.82808222,5,,,
-0.12,0.12,0.98,95518,138267,54.54545455,17.24137931,94.84460709,5,,,
-0.11,0.12,0.98,95613,138273,78.94736842,12.82051282,94.84042049,5,,,
-0.11,0.12,0.99,95577,138451,23.07692308,13.76146789,94.84438874,5,,,
-0.11,0.12,1.02,95770,138433,54.54545455,13.63636364,94.83834255,5,,,
-0.12,0.13,1.04,95870,138429,78.94736842,17.24137931,94.84459197,5,,,
-0.14,0.11,1.03,95773,138356,23.07692308,12.82051282,94.84169755,5,,,
-0.14,0.1,0.98,95765,138418,54.54545455,13.76146789,94.85041763,5,,,
-0.12,0.1,0.96,95955,138454,76.92307692,,94.90352545,5,,,
-0.11,0.1,1.03,95923,138482,11.85770751,,95.29084682,5,,,
-0.13,0.1,1.03,95871,138371,17.04545455,,96.20376942,5,,,
-0.13,0.1,1,95787,138301,54.54545455,,98.19656997,5,,,
-0.13,0.11,1.02,95876,138335,78.94736842,,90.6254581,5,,,
-0.12,0.12,1.03,95777,138426,23.07692308,,97.05862506,5,,,
-0.12,0.11,1.04,95966,138448,54.54545455,,98.22982827,5,,,
-0.13,0.11,1.01,95881,138403,78.94736842,,99.57482417,5,,,
-0.12,0.11,1,95889,138525,23.07692308,,94.84498799,5,,,
-0.12,0.11,1.01,95766,138417,54.54545455,,94.83998054,5,,,
-0.12,0.11,1.02,95814,138515,76.92307692,,94.84451338,5,,,
-0.11,0.11,1.01,95950,138529,11.85770751,,94.83971529,5,,,
