Time Period,IR,RED
0,11169,21300
0.02,19917,42634
0.04,58332,74529
0.06,88520,107624
0.08,90390,134138
0.1,91878,135130
0.12,92457,135430
0.14,92775,135625
0.16,92921,135700
0.18,93094,135968
0.2,93285,136001
0.22,93313,135971
0.24,93401,136103
0.26,93534,136144
0.28,93590,136181
0.3,93615,136192
0.32,93655,136278
0.34,93753,136437
0.36,93799,136439
0.38,93851,136459
0.4,93825,136536
0.42,93986,136658
0.44,93973,136660
0.46,94008,136818
0.48,94082,136947
0.5,94175,136966
0.52,94179,136997
0.54,94145,137029
0.56,94320,137154
0.58,94373,137181
0.6,94328,137238
0.62,94389,137290
0.64,94372,137356
0.66,94449,137396
0.68,94465,137436
0.7,94503,137442
0.72,94407,137386
0.74,94534,137412
0.76,94519,137313
0.78,94504,137387
0.8,94438,137239
0.82,94356,137258
0.84,94353,137187
0.86,94243,137130
0.88,94278,137223
0.9,94462,137407
0.92,94460,137441
0.94,94461,137596
0.96,94697,137678
0.98,94716,137821
1,94793,137799
1.02,94880,137824
1.04,94848,137833
1.06,94932,137985
1.08,95006,137913
1.1,95011,137939
1.12,95032,137986
1.14,95201,138028
1.16,95142,138052
1.18,95199,138102
1.2,95202,137994
1.22,95100,138006
1.24,95246,138111
1.26,95266,138135
1.28,95344,138235
1.3,95412,138214
1.32,95380,138214
1.34,95465,138203
1.36,95460,138241
1.38,95482,138248
1.4,95518,138267
1.42,95613,138273
1.44,95577,138451
1.46,95770,138433
1.48,95870,138429
1.5,95773,138356
1.52,95765,138418
1.54,95955,138454
1.56,95923,138482
1.58,95871,138371
1.6,95787,138301
1.62,95876,138335
1.64,95777,138426
1.66,95966,138448
1.68,95881,138403
1.7,95889,138525
1.72,95766,138417
1.74,95814,138515
1.76,95950,138529
1.78,95855,138436
1.8,95875,138587
1.82,95898,138476
1.84,95880,138392
1.86,95899,138458
1.88,95922,138456
1.9,95855,138504
1.92,95916,138589
1.94,95962,138574
1.96,95962,138507
1.98,95923,138592
2,96016,138573
2.02,95905,138606
2.04,95975,138555
2.06,95955,138493
2.08,95959,138599
2.1,95943,138479
2.12,95850,138400
2.14,95980,138375
2.16,95917,138290
2.18,95874,138362
2.2,95890,138384
2.22,95961,138340
2.24,95916,138350
2.26,95935,138279
2.28,95942,138329
2.3,96060,138434
2.32,96074,138384
2.34,96048,138388
2.36,96107,138260
2.38,96015,138228
2.4,96048,138233
2.42,96011,138209
2.44,96034,138236
2.46,96007,138262
2.48,96166,138267
2.5,96128,138218
2.52,96139,138355
2.54,96134,138319
2.56,96081,138339
2.58,96204,138375
2.6,96192,138223
2.62,96189,138357
2.64,96209,138282
2.66,96200,138227
2.68,96215,138351
2.7,96227,138394
2.72,96277,138311
2.74,96256,138392
2.76,96390,138422
2.78,96297,138428
2.8,96325,138448
2.82,96321,138534
2.84,96358,138456
2.86,96349,138375
2.88,96285,138284
2.9,96266,138240
2.92,96328,138401
2.94,96340,138377
2.96,96314,138317
2.98,96242,138334
3,96379,138326
3.02,96304,138208
3.04,96295,138386
3.06,96336,138329
3.08,96248,138364
3.1,96410,138398
3.12,96325,138266
3.14,96354,138251
3.16,96299,138323
3.18,96261,138321
3.2,96398,138395
3.22,96343,138331
3.24,96360,138334
3.26,96404,138387
3.28,96345,138333
3.3,96357,138404
3.32,96396,138421
3.34,96367,138374
3.36,96289,138334
3.38,96429,138324
3.4,96350,138348
3.42,96355,138417
3.44,96360,138396
3.46,96356,138283
3.48,96343,138427
3.5,96376,138368
3.52,96328,138427
3.54,96479,138387
3.56,96319,138400
3.58,96451,138392
3.6,96397,138415
3.62,96347,138389
3.64,96429,138439
3.66,96426,138344
3.68,96350,138303
3.7,96326,138356
3.72,96389,138471
3.74,96450,138373
3.76,96402,138406
3.78,96411,138489
3.8,96410,138469
3.82,96355,138405
3.84,96428,138304
3.86,96416,138379
3.88,96305,138275
3.9,96389,138397
3.92,631,809
3.94,695,779
3.96,662,767
3.98,627,768
4,760,782
4.02,645,769
4.04,619,803
4.06,613,781
4.08,671,806
4.1,688,734
4.12,625,803
4.14,721,810
4.16,652,723
4.18,668,808
4.2,716,792
