X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.4,-0.11,1.17,8455,10443,230.7692308,12.60504202,99.24847523,1,106.3148192,19.13578321,96.3976082
0.46,-0.03,0.8,8502,10490,93.75,13.4529148,96.98560576,1,,,
0.08,-0.2,0.93,8556,10484,68.18181818,11.27819549,98.65414627,1,,,
0.09,-0.19,1.05,8460,10496,71.42857143,21.12676056,94.84545325,1,,,
0.21,-0.13,1.05,8563,10611,73.17073171,22.90076336,95.06516238,1,,,
0.21,-0.11,0.9,8584,10565,250,20.13422819,96.24446391,1,,,
0.2,-0.11,1.08,8621,10550,125,20.27027027,99.95263695,1,,,
0.21,-0.19,0.99,8569,10548,111.1111111,19.60784314,97.89831393,1,,,
0.2,-0.08,0.98,8592,10545,103.4482759,19.73684211,98.65403507,1,,,
0.22,0.01,1.1,8552,10556,66.66666667,21.42857143,94.84545325,1,,,
0.25,-0.21,1.08,8589,10531,68.18181818,20.83333333,95.06516237,1,,,
-0.1,0.04,1.08,8636,10579,71.42857143,20.54794521,96.24446388,1,,,
0.22,-0.2,0.99,8619,10626,73.17073171,19.60784314,99.95263694,1,,,
0.44,-0.06,1.41,8558,10612,250,22.3880597,97.89831383,1,,,
0.45,-0.05,0.64,8616,10607,125,22.05882353,98.65403508,1,,,
-0.15,0.2,0.47,8654,10570,111.1111111,21.27659574,94.87394575,1,,,
0.37,0.16,1.39,8567,10608,103.4482759,20.54794521,95.05080677,1,,,
0.15,-0.08,1.16,8593,10590,68.18181818,20.54794521,96.06793344,1,,,
0.1,0.14,1.27,8662,10652,66.66666667,19.60784314,99.91416062,1,,,
0.2,0.14,1.36,8588,10557,69.76744186,19.35483871,89.15322551,1,,,
0.14,0.09,1.29,8637,10614,73.17073171,21.42857143,99.62647013,1,,,
0.11,0.08,1.09,8578,10599,75,20.83333333,92.94467164,1,,,
0.09,0.14,0.96,8599,10577,62.5,20.54794521,96.22958154,1,,,
-0.01,0.01,0.99,8591,10651,78.94736842,19.60784314,98.86714014,1,,,
-0.06,0.09,0.88,8591,10629,78.94736842,18.86792453,99.58680869,1,,,
0.08,0.03,0.94,8640,10603,68.18181818,21.12676056,93.7361692,1,,,
0.06,0,0.94,8579,10640,76.92307692,20.68965517,94.81090687,1,,,
0.03,-0.03,1.04,8589,10604,214.2857143,20.68965517,94.81925996,1,,,
0.08,0.09,1.06,8665,10609,107.1428571,19.60784314,94.82694806,1,,,
0.13,-0.03,1.1,8570,10610,130.4347826,11.11111111,94.87673595,1,,,
0.13,0.01,1.06,8626,10612,130.4347826,20.83333333,95.00333858,1,,,
0.04,-0.06,1,8604,10626,111.1111111,20.97902098,99.94753553,1,,,
0.03,-0.1,0.91,8551,10564,103.4482759,20.68965517,94.81090688,1,,,
0.06,-0.1,0.99,8601,10612,66.66666667,19.48051948,94.81925997,1,,,
0.08,-0.11,0.88,8579,10587,69.76744186,11.19402985,94.82694806,1,,,
-0.05,-0.11,0.89,8606,10596,69.76744186,21.12676056,94.87673595,1,,,
-0.08,-0.05,0.95,8647,10645,76.92307692,20.68965517,95.00333858,1,,,
0.04,-0.1,0.93,8601,10613,200,20.54794521,99.94753552,1,,,
0.04,-0.13,0.93,8653,10580,130.4347826,19.48051948,94.74779932,1,,,
0.01,-0.11,0.95,8586,10581,111.1111111,11.15241636,94.84705042,1,,,
0.05,-0.13,0.96,8633,10611,103.4482759,20.97902098,94.83310442,1,,,
0.13,-0.13,0.89,8611,10640,68.18181818,20.83333333,94.85506805,1,,,
0.01,-0.17,0.95,8574,10587,68.18181818,20.54794521,96.03855519,1,,,
-0.01,-0.15,0.99,8627,10597,69.76744186,19.60784314,95.08093307,1,,,
0.01,-0.13,1.09,8609,10607,76.92307692,11.11111111,96.82679688,1,,,
-0.08,-0.13,1.04,8588,10632,200,21.27659574,94.41412091,1,,,
-0.05,-0.13,1.1,8613,10542,130.4347826,20.54794521,96.98159412,1,,,
0,-0.11,1.06,8640,10627,111.1111111,20.54794521,99.94766075,1,,,
-0.01,-0.11,1.01,8563,10569,103.4482759,19.48051948,97.10442363,1,,,
-0.04,-0.11,1.01,8566,10556,68.18181818,11.0701107,99.58861657,1,,,
-0.04,-0.11,1.01,8631,10579,68.18181818,21.27659574,96.95857339,1,,,
-0.04,-0.15,1.05,8573,10610,69.76744186,20.83333333,99.95013045,1,,,
-0.06,-0.14,0.96,8572,10584,75,20.68965517,95.07334925,1,,,
-0.04,-0.11,1.15,8596,10552,76.92307692,19.48051948,94.83710952,1,,,
-0.01,-0.19,1.1,8628,10628,125,12.19512195,95.57502712,1,,,
-0.01,-0.19,1.06,8610,10572,125,17.64705882,97.64234254,1,,,
-0.09,-0.2,1.02,8534,10584,103.4482759,21.42857143,97.10951028,1,,,
-0.14,-0.22,0.99,8588,10584,166.6666667,21.12676056,96.69322445,1,,,
-0.17,-0.22,1.06,8584,10603,103.4482759,19.23076923,99.95184248,1,,,
-0.14,-0.25,1.09,8542,10525,83.33333333,18.07228916,95.07334923,1,,,
0.01,-0.22,1.08,8594,10610,81.08108108,22.90076336,94.83710952,1,,,
0.09,-0.28,1.08,8568,10557,111.1111111,20.40816327,95.57502711,1,,,
0.13,-0.32,0.91,8601,10563,115.3846154,20.40816327,97.64234247,1,,,
0.04,-0.29,0.94,8639,10567,120,19.60784314,97.10951018,1,,,
0.05,-0.29,0.99,8574,10605,130.4347826,12,96.69322449,1,,,
0,-0.28,0.95,8562,10627,111.1111111,13.4529148,99.95184248,1,,,
-0.05,-0.21,1.01,8556,10536,103.4482759,11.95219124,94.94938269,1,,,
0.11,-0.22,0.95,8617,10535,66.66666667,23.62204724,95.2326885,1,,,
0.13,-0.19,1.01,8534,10518,68.18181818,12.5,96.32081524,1,,,
0.06,-0.31,0.95,8559,10525,69.76744186,16.21621622,98.61238764,1,,,
0.06,-0.28,0.86,8611,10550,76.92307692,21.42857143,99.49152678,1,,,
0.11,-0.32,0.91,8611,10567,214.2857143,20.83333333,81.57393895,1,,,
0.19,-0.34,0.99,8566,10592,130.4347826,18.63354037,99.71008407,1,,,
0.19,-0.35,0.91,8542,10593,111.1111111,21.89781022,81.26970862,1,,,
0.21,-0.41,0.85,8557,10537,103.4482759,19.60784314,98.58072831,1,,,
