time(second),IR,RED
0,8455,10443
0.02,8502,10490
0.04,8556,10484
0.06,8460,10496
0.08,8563,10611
0.1,8584,10565
0.12,8621,10550
0.14,8569,10548
0.16,8592,10545
0.18,8552,10556
0.2,8589,10531
0.22,8636,10579
0.24,8619,10626
0.26,8558,10612
0.28,8616,10607
0.3,8654,10570
0.32,8567,10608
0.34,8593,10590
0.36,8662,10652
0.38,8588,10557
0.4,8637,10614
0.42,8578,10599
0.44,8599,10577
0.46,8591,10651
0.48,8591,10629
0.5,8640,10603
0.52,8579,10640
0.54,8589,10604
0.56,8665,10609
0.58,8570,10610
0.6,8626,10612
0.62,8604,10626
0.64,8551,10564
0.66,8601,10612
0.68,8579,10587
0.7,8606,10596
0.72,8647,10645
0.74,8601,10613
0.76,8653,10580
0.78,8586,10581
0.8,8633,10611
0.82,8611,10640
0.84,8574,10587
0.86,8627,10597
0.88,8609,10607
0.9,8588,10632
0.92,8613,10542
0.94,8640,10627
0.96,8563,10569
0.98,8566,10556
1,8631,10579
1.02,8573,10610
1.04,8572,10584
1.06,8596,10552
1.08,8628,10628
1.1,8610,10572
1.12,8534,10584
1.14,8588,10584
1.16,8584,10603
1.18,8542,10525
1.2,8594,10610
1.22,8568,10557
1.24,8601,10563
1.26,8639,10567
1.28,8574,10605
1.3,8562,10627
1.32,8556,10536
1.34,8617,10535
1.36,8534,10518
1.38,8559,10525
1.4,8611,10550
1.42,8611,10567
1.44,8566,10592
1.46,8542,10593
1.48,8557,10537
1.5,8589,10625
1.52,8552,10543
1.54,8552,10526
1.56,8566,10553
1.58,8606,10508
1.6,8615,10565
1.62,8612,10605
1.64,8566,10548
1.66,8609,10554
1.68,8531,10562
1.7,8572,10593
1.72,8585,10638
1.74,8582,10617
1.76,8532,10565
1.78,8613,10576
1.8,8577,10626
1.82,8560,10560
1.84,8615,10588
1.86,8546,10602
1.88,8570,10600
1.9,8641,10563
1.92,8609,10515
1.94,8610,10581
1.96,8598,10611
1.98,8501,10427
2,8455,10443
2.02,8502,10490
2.04,8556,10484
2.06,8460,10496
2.08,8563,10611
2.1,8584,10565
2.12,8621,10550
2.14,8569,10548
2.16,8592,10545
2.18,8552,10556
2.2,8589,10531
2.22,8636,10579
2.24,8619,10626
2.26,8558,10612
2.28,8616,10607
2.3,8654,10570
2.32,8567,10608
2.34,8593,10590
2.36,8662,10652
2.38,8588,10557
2.4,8637,10614
2.42,8578,10599
2.44,8599,10577
2.46,8591,10651
2.48,8591,10629
2.5,8640,10603
2.52,8579,10640
2.54,8589,10604
2.56,8665,10609
2.58,8570,10610
2.6,8626,10612
2.62,8604,10626
2.64,8551,10564
2.66,8601,10612
2.68,8579,10587
2.7,8606,10596
2.72,8647,10645
2.74,8601,10613
2.76,8653,10580
2.78,8586,10581
2.8,8633,10611
2.82,8611,10640
2.84,8574,10587
2.86,8627,10597
2.88,8609,10607
2.9,8588,10632
2.92,8613,10542
2.94,8640,10627
2.96,8563,10569
2.98,8566,10556
3,8631,10579
3.02,8573,10610
3.04,8572,10584
3.06,8596,10552
3.08,8628,10628
3.1,8610,10572
3.12,8534,10584
3.14,8588,10584
3.16,8584,10603
3.18,8542,10525
3.2,8594,10610
3.22,8568,10557
3.24,8601,10563
3.26,8639,10567
3.28,8574,10605
3.3,8562,10627
3.32,8556,10536
3.34,8617,10535
3.36,8534,10518
3.38,8559,10525
3.4,8611,10550
3.42,8611,10567
3.44,8566,10592
3.46,8542,10593
3.48,8557,10537
3.5,8589,10625
3.52,8552,10543
3.54,8552,10526
3.56,8566,10553
3.58,8606,10508
3.6,8615,10565
3.62,8612,10605
3.64,8566,10548
3.66,8609,10554
3.68,8531,10562
3.7,8572,10593
3.72,8585,10638
3.74,8582,10617
3.76,8532,10565
3.78,8613,10576
3.8,8577,10626
3.82,8560,10560
3.84,8615,10588
3.86,8546,10602
3.88,8570,10600
3.9,8641,10563
3.92,8609,10515
3.94,8610,10581
3.96,8598,10611
3.98,8564,10602
4,8579,10565
4.02,8561,10554
4.04,8630,10625
4.06,8564,10566
4.08,8606,10539
4.1,8572,10584
4.12,8569,10554
4.14,8606,10625
4.16,8598,10580
4.18,8584,10593
4.2,8558,10549
4.22,8580,10588
4.24,8530,10555
4.26,8598,10615
4.28,8546,10542
4.3,8604,10593
4.32,8500,10575
4.34,8558,10557
4.36,8612,10546
4.38,8564,10628
4.4,8550,10547
4.42,8588,10612
4.44,8538,10582
4.46,8536,10562
4.48,8573,10601
4.5,8563,10609
4.52,8557,10530
4.54,8603,10659
4.56,8535,10596
4.58,8535,10534
4.6,8563,10614
4.62,8556,10537
4.64,8607,10562
4.66,8547,10595
4.68,8600,10634
4.7,8538,10589
4.72,8520,10566
4.74,8581,10557
4.76,8527,10605
4.78,8512,10563
4.8,8591,10566
4.82,8586,10585
4.84,8558,10618
4.86,8507,10559
4.88,8531,10518
4.9,8589,10601
4.92,8561,10625
4.94,8545,10604
4.96,8491,10558
4.98,8547,10561
5,8573,10603
5.02,8498,10549
5.04,8546,10612
