X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.55,-0.01,0.81,8275,10707,166.6666667,20.83333333,88.04429662,2,163.2342269,19.45939752,96.50969081
0.52,0,0.85,8212,10709,333.3333333,20.68965517,99.77605857,2,,,
0.5,0.03,0.88,8143,10642,157.8947368,19.60784314,96.97299588,2,,,
0.54,0.01,0.81,8256,10707,150,18.75,95.18520172,2,,,
0.54,-0.04,0.84,8185,10653,111.1111111,21.12676056,99.87567044,2,,,
0.55,-0.01,0.91,8234,10635,150,20.68965517,95.54824378,2,,,
0.55,0.01,0.84,8226,10720,111.1111111,20.68965517,94.88178717,2,,,
0.56,-0.01,0.81,8179,10648,150,19.48051948,94.96410442,2,,,
0.57,-0.03,0.86,8165,10648,115.3846154,19.10828025,95.20454135,2,,,
0.55,-0.03,0.88,8233,10658,125,20.97902098,98.52572171,2,,,
0.52,0,0.86,8181,10693,176.4705882,20.83333333,94.26873643,2,,,
0.56,-0.01,0.82,8177,10634,166.6666667,20.54794521,99.86757832,2,,,
0.52,-0.03,0.88,8225,10659,157.8947368,19.48051948,95.55392627,2,,,
0.54,-0.06,0.85,8213,10686,166.6666667,11.19402985,94.88178716,2,,,
0.55,-0.03,0.89,8228,10620,333.3333333,20.83333333,94.96410441,2,,,
0.56,-0.03,0.85,8206,10680,157.8947368,20.83333333,95.20454134,2,,,
0.52,0,0.86,8177,10633,150,20.54794521,98.52572168,2,,,
0.56,0,0.89,8235,10623,111.1111111,19.23076923,94.26873651,2,,,
0.52,0.03,0.89,8138,10643,150,11.32075472,99.86757832,2,,,
0.49,0,0.84,8219,10653,111.1111111,20.83333333,95.55395046,2,,,
0.52,0,0.84,8152,10674,150,20.97902098,94.9004118,2,,,
0.51,0.01,0.84,8190,10657,115.3846154,20.83333333,94.84762927,2,,,
0.52,0,0.88,8237,10659,125,19.60784314,95.03241006,2,,,
0.56,-0.01,0.86,8181,10686,176.4705882,18.63354037,95.80691054,2,,,
0.55,0.05,0.89,8218,10713,166.6666667,21.27659574,97.10842125,2,,,
0.51,-0.03,0.88,8201,10707,157.8947368,20.68965517,99.43451968,2,,,
0.55,0.01,0.85,8153,10666,166.6666667,20.54794521,98.454137,2,,,
0.55,-0.01,0.84,8230,10719,333.3333333,19.60784314,97.37065411,2,,,
0.54,-0.04,0.82,8202,10737,157.8947368,19.10828025,99.75605698,2,,,
0.51,0.01,0.84,8193,10692,150,21.12676056,98.03863019,2,,,
0.55,-0.04,0.82,8241,10708,111.1111111,20.83333333,92.40461124,2,,,
0.52,-0.01,0.88,8196,10703,150,20.54794521,92.97504586,2,,,
0.54,0.01,0.9,8167,10623,111.1111111,19.60784314,94.62028933,2,,,
0.54,0.03,0.86,8155,10713,150,19.86754967,98.89042526,2,,,
0.5,0,0.81,8187,10643,120,20.97902098,98.8276245,2,,,
0.55,0,0.9,8216,10702,130.4347826,20.83333333,97.34948933,2,,,
0.54,-0.04,0.89,8187,10617,130.4347826,20.54794521,99.75711221,2,,,
0.54,-0.04,0.86,8246,10719,125,19.48051948,98.04114845,2,,,
0.52,-0.01,0.89,8185,10660,142.8571429,18.40490798,92.42170321,2,,,
0.52,0,0.85,8219,10694,136.3636364,21.27659574,93.21372667,2,,,
0.56,-0.03,0.77,8149,10653,107.1428571,20.83333333,93.49093326,2,,,
0.55,0,0.81,8217,10701,130.4347826,20.54794521,94.87477454,2,,,
0.56,0,0.82,8195,10700,125,19.60784314,94.84939899,2,,,
0.56,0.01,0.89,8216,10690,142.8571429,18.75,95.04647756,2,,,
0.57,-0.01,0.82,8191,10696,150,21.12676056,95.9298718,2,,,
0.55,-0.01,0.82,8221,10672,142.8571429,20.83333333,99.84917526,2,,,
0.54,0,0.85,8203,10675,130.4347826,20.54794521,97.09737149,2,,,
0.55,-0.01,0.81,8171,10654,157.8947368,19.73684211,92.10644027,2,,,
0.56,-0.03,0.85,8242,10674,166.6666667,18.75,93.21666876,2,,,
0.55,0.01,0.86,8187,10712,200,21.12676056,93.50173496,2,,,
0.55,-0.01,0.82,8154,10646,176.4705882,20.83333333,94.87477454,2,,,
0.56,-0.01,0.86,8180,10638,166.6666667,20.54794521,94.84939899,2,,,
0.56,0,0.89,8234,10709,157.8947368,19.60784314,95.04647756,2,,,
0.55,0,0.84,8195,10704,157.8947368,20.13422819,95.92987178,2,,,
0.52,0.01,0.82,8133,10683,375,21.12676056,99.84917526,2,,,
0.55,0.01,0.85,8207,10665,157.8947368,20.83333333,97.09737143,2,,,
0.55,0,0.88,8229,10708,150,20.68965517,92.10644008,2,,,
0.55,0,0.81,8151,10673,111.1111111,19.48051948,93.21666873,2,,,
0.52,-0.03,0.95,8204,10655,150,11.15241636,93.50173496,2,,,
0.54,0.01,0.86,8194,10608,115.3846154,21.12676056,94.88445618,2,,,
0.51,0,0.79,8234,10694,142.8571429,20.83333333,94.8873183,2,,,
0.55,-0.01,0.86,8213,10662,125,20.68965517,94.83090057,2,,,
0.55,-0.01,0.82,8218,10669,115.3846154,19.60784314,99.95157993,2,,,
0.54,-0.04,0.81,8172,10680,176.4705882,19.35483871,99.46121715,2,,,
0.52,0.04,0.82,8156,10659,166.6666667,21.27659574,96.08725908,2,,,
0.55,0.01,0.8,8220,10676,157.8947368,20.68965517,99.63941513,2,,,
0.54,-0.01,0.88,8221,10673,166.6666667,20.54794521,99.70244877,2,,,
0.52,-0.03,0.88,8220,10691,333.3333333,19.48051948,96.73207515,2,,,
0.51,0,0.91,8123,10690,157.8947368,11.11111111,99.7885199,2,,,
0.56,0.01,0.89,8156,10676,150,21.12676056,99.85632314,2,,,
0.54,-0.01,0.81,8208,10737,111.1111111,20.83333333,99.47101349,2,,,
0.56,0.03,0.86,8163,10657,150,20.54794521,96.19478845,2,,,
0.56,-0.01,0.85,8238,10623,115.3846154,19.60784314,99.70621519,2,,,
0.51,0.01,0.85,8159,10654,142.8571429,11.15241636,99.67376716,2,,,
0.57,0,0.88,8228,10636,125,21.12676056,96.73313631,2,,,
0.55,-0.04,0.9,8175,10709,115.3846154,20.54794521,99.78862155,2,,,
0.59,-0.01,0.81,8173,10620,176.4705882,20.54794521,94.97382152,2,,,
0.51,0,0.88,8172,10620,166.6666667,19.48051948,99.30200342,2,,,
0.55,-0.04,0.9,8213,10658,157.8947368,17.34104046,94.85387905,2,,,
0.57,-0.01,0.86,8157,10639,166.6666667,21.42857143,94.88205574,2,,,
0.55,0,0.86,8234,10682,333.3333333,20.83333333,99.74885121,2,,,
0.57,-0.06,0.81,8194,10688,157.8947368,20.83333333,96.80860581,2,,,
0.56,-0.03,0.82,8161,10697,150,19.60784314,99.69205211,2,,,
0.56,-0.03,0.89,8177,10647,111.1111111,12.19512195,94.97380419,2,,,
0.51,-0.01,0.89,8216,10663,150,11.95219124,99.30230965,2,,,
0.52,-0.01,0.88,8180,10708,111.1111111,11.58301158,94.85387905,2,,,
0.54,-0.01,0.91,8139,10652,150,14.35406699,94.88205574,2,,,
0.52,-0.03,0.84,8225,10650,136.3636364,11.49425287,99.74885116,2,,,
0.55,-0.01,0.89,8158,10698,125,19.60784314,96.80860581,2,,,
0.54,0.04,0.8,8157,10691,142.8571429,23.25581395,99.6920521,2,,,
0.55,0,0.85,8175,10703,142.8571429,20.40816327,94.97380419,2,,,
0.57,0,0.82,8181,10668,100,20.40816327,89.00920738,2,,,
0.56,0,0.85,8211,10680,157.8947368,19.60784314,94.86716062,2,,,
0.56,0.01,0.89,8208,10679,125,20.40816327,94.84538235,2,,,
0.57,0,0.9,8147,10681,150,20.97902098,94.89302281,2,,,
0.56,0.01,0.81,8188,10645,150,20.83333333,97.56371932,2,,,
0.56,0.01,0.85,8173,10664,150,20.54794521,94.67095075,2,,,
0.54,-0.01,0.81,8141,10647,157.8947368,19.60784314,98.56268979,2,,,
0.52,-0.01,0.86,8195,10650,125,18.86792453,95.84233342,2,,,
0.56,0.03,0.79,8224,10680,150,21.42857143,99.68647941,2,,,
0.55,-0.01,0.81,8275,10707,142.8571429,,99.9528252,2,,,
0.52,0,0.85,8212,10709,142.8571429,,97.11746758,2,,,
0.5,0.03,0.88,8143,10642,375,,94.54545347,2,,,
0.54,0.01,0.81,8256,10707,187.5,,98.78838017,2,,,
0.54,-0.04,0.84,8185,10653,176.4705882,,95.8268695,2,,,
