time(second),IR,RED
0,8275,10707
0.02,8212,10709
0.04,8143,10642
0.06,8256,10707
0.08,8185,10653
0.1,8234,10635
0.12,8226,10720
0.14,8179,10648
0.16,8165,10648
0.18,8233,10658
0.2,8181,10693
0.22,8177,10634
0.24,8225,10659
0.26,8213,10686
0.28,8228,10620
0.3,8206,10680
0.32,8177,10633
0.34,8235,10623
0.36,8138,10643
0.38,8219,10653
0.4,8152,10674
0.42,8190,10657
0.44,8237,10659
0.46,8181,10686
0.48,8218,10713
0.5,8201,10707
0.52,8153,10666
0.54,8230,10719
0.56,8202,10737
0.58,8193,10692
0.6,8241,10708
0.62,8196,10703
0.64,8167,10623
0.66,8155,10713
0.68,8187,10643
0.7,8216,10702
0.72,8187,10617
0.74,8246,10719
0.76,8185,10660
0.78,8219,10694
0.8,8149,10653
0.82,8217,10701
0.84,8195,10700
0.86,8216,10690
0.88,8191,10696
0.9,8221,10672
0.92,8203,10675
0.94,8171,10654
0.96,8242,10674
0.98,8187,10712
1,8154,10646
1.02,8180,10638
1.04,8234,10709
1.06,8195,10704
1.08,8133,10683
1.1,8207,10665
1.12,8229,10708
1.14,8151,10673
1.16,8204,10655
1.18,8194,10608
1.2,8234,10694
1.22,8213,10662
1.24,8218,10669
1.26,8172,10680
1.28,8156,10659
1.3,8220,10676
1.32,8221,10673
1.34,8220,10691
1.36,8123,10690
1.38,8156,10676
1.4,8208,10737
1.42,8163,10657
1.44,8238,10623
1.46,8159,10654
1.48,8228,10636
1.5,8175,10709
1.52,8173,10620
1.54,8172,10620
1.56,8213,10658
1.58,8157,10639
1.6,8234,10682
1.62,8194,10688
1.64,8161,10697
1.66,8177,10647
1.68,8216,10663
1.7,8180,10708
1.72,8139,10652
1.74,8225,10650
1.76,8158,10698
1.78,8157,10691
1.8,8175,10703
1.82,8181,10668
1.84,8211,10680
1.86,8208,10679
1.88,8147,10681
1.9,8188,10645
1.92,8173,10664
1.94,8141,10647
1.96,8195,10650
1.98,8224,10680
2,8275,10707
2.02,8212,10709
2.04,8143,10642
2.06,8256,10707
2.08,8185,10653
2.1,8234,10635
2.12,8226,10720
2.14,8179,10648
2.16,8165,10648
2.18,8233,10658
2.2,8181,10693
2.22,8177,10634
2.24,8225,10659
2.26,8213,10686
2.28,8228,10620
2.3,8206,10680
2.32,8177,10633
2.34,8235,10623
2.36,8138,10643
2.38,8219,10653
2.4,8152,10674
2.42,8190,10657
2.44,8237,10659
2.46,8181,10686
2.48,8218,10713
2.5,8201,10707
2.52,8153,10666
2.54,8230,10719
2.56,8202,10737
2.58,8193,10692
2.6,8241,10708
2.62,8196,10703
2.64,8167,10623
2.66,8155,10713
2.68,8187,10643
2.7,8216,10702
2.72,8187,10617
2.74,8246,10719
2.76,8185,10660
2.78,8219,10694
2.8,8149,10653
2.82,8217,10701
2.84,8195,10700
2.86,8216,10690
2.88,8191,10696
2.9,8221,10672
2.92,8203,10675
2.94,8171,10654
2.96,8242,10674
2.98,8187,10712
3,8154,10646
3.02,8180,10638
3.04,8234,10709
3.06,8195,10704
3.08,8133,10683
3.1,8207,10665
3.12,8229,10708
3.14,8151,10673
3.16,8204,10655
3.18,8194,10608
3.2,8234,10694
3.22,8213,10662
3.24,8218,10669
3.26,8172,10680
3.28,8156,10659
3.3,8220,10676
3.32,8221,10673
3.34,8220,10691
3.36,8123,10690
3.38,8156,10676
3.4,8208,10737
3.42,8163,10657
3.44,8238,10623
3.46,8159,10654
3.48,8228,10636
3.5,8175,10709
3.52,8173,10620
3.54,8172,10620
3.56,8213,10658
3.58,8157,10639
3.6,8234,10682
3.62,8194,10688
3.64,8161,10697
3.66,8177,10647
3.68,8216,10663
3.7,8180,10708
3.72,8139,10652
3.74,8225,10650
3.76,8158,10698
3.78,8157,10691
3.8,8175,10703
3.82,8181,10668
3.84,8211,10680
3.86,8208,10679
3.88,8147,10681
3.9,8188,10645
3.92,8173,10664
3.94,8141,10647
3.96,8195,10650
3.98,8224,10680
4,8160,10678
4.02,8191,10639
4.04,8208,10687
4.06,8141,10626
4.08,8161,10687
4.1,8168,10656
4.12,8191,10641
4.14,8201,10717
4.16,8175,10668
4.18,8147,10646
4.2,8216,10666
4.22,8171,10700
4.24,8225,10688
4.26,8161,10682
4.28,8170,10653
4.3,8222,10598
4.32,8215,10699
4.34,8159,10643
4.36,8166,10634
4.38,8183,10653
4.4,8188,10721
4.42,8188,10646
4.44,8219,10656
4.46,8154,10695
4.48,8140,10639
4.5,8177,10651
4.52,8206,10664
4.54,8161,10683
4.56,8188,10619
4.58,8232,10696
4.6,8195,10725
4.62,8127,10685
4.64,8229,10674
4.66,8182,10698
4.68,8169,10670
4.7,8161,10710
4.72,8186,10653
4.74,8221,10633
4.76,8200,10682
4.78,8197,10646
4.8,8223,10668
4.82,8167,10708
4.84,8191,10699
4.86,8139,10648
4.88,8219,10653
4.9,8134,10654
4.92,8189,10698
4.94,8189,10700
4.96,8149,10621
4.98,8193,10690
5,8225,10702
5.02,8149,10687
5.04,8160,10672
5.06,8171,10647
5.08,8185,10620
5.1,8156,10625
5.12,8205,10651
5.14,8193,10666
5.16,8192,10683
5.18,8140,10665
5.2,8236,10611
5.22,8124,10649
5.24,8200,10625
5.26,8220,10635
5.28,8169,10701
5.3,8193,10617
5.32,8213,10664
5.34,8151,10654
5.36,8189,10640
5.38,8206,10692
5.4,8220,10643
5.42,8193,10718
5.44,8200,10651
5.46,8216,10625
5.48,8203,10662
5.5,8120,10606
5.52,8238,10677
5.54,8153,10629
5.56,8201,10647
5.58,8133,10657
5.6,8167,10640
5.62,8125,10609
5.64,8203,10681
5.66,8141,10661
5.68,8147,10630
5.7,8218,10643
5.72,8158,10671
5.74,8158,10645
5.76,8190,10638
5.78,8173,10609
5.8,8213,10691
5.82,8189,10698
5.84,8124,10652
5.86,8220,10639
5.88,8177,10680
5.9,8158,10690
5.92,8166,10637
5.94,8167,10624
5.96,8231,10645
5.98,8178,10576
6,8275,10707
6.02,8212,10709
6.04,8143,10642
6.06,8256,10707
6.08,8185,10653
6.1,8234,10635
6.12,8226,10720
6.14,8179,10648
6.16,8165,10648
6.18,8233,10658
6.2,8181,10693
6.22,8177,10634
6.24,8225,10659
6.26,8213,10686
6.28,8228,10620
6.3,8206,10680
6.32,8177,10633
6.34,8235,10623
6.36,8138,10643
6.38,8219,10653
6.4,8152,10674
6.42,8190,10657
6.44,8237,10659
6.46,8181,10686
6.48,8218,10713
6.5,8201,10707
6.52,8153,10666
6.54,8230,10719
6.56,8202,10737
6.58,8193,10692
6.6,8241,10708
6.62,8196,10703
6.64,8167,10623
6.66,8155,10713
6.68,8187,10643
6.7,8216,10702
6.72,8187,10617
6.74,8246,10719
6.76,8185,10660
6.78,8219,10694
6.8,8149,10653
6.82,8217,10701
6.84,8195,10700
6.86,8216,10690
6.88,8191,10696
6.9,8221,10672
6.92,8203,10675
6.94,8171,10654
6.96,8242,10674
6.98,8187,10712
7,8154,10646
7.02,8180,10638
7.04,8234,10709
7.06,8195,10704
7.08,8133,10683
7.1,8207,10665
7.12,8229,10708
7.14,8151,10673
7.16,8204,10655
7.18,8194,10608
7.2,8234,10694
7.22,8213,10662
7.24,8218,10669
7.26,8172,10680
7.28,8156,10659
7.3,8220,10676
7.32,8221,10673
7.34,8220,10691
7.36,8123,10690
7.38,8156,10676
7.4,8208,10737
7.42,8163,10657
7.44,8238,10623
7.46,8159,10654
7.48,8228,10636
7.5,8175,10709
7.52,8173,10620
7.54,8172,10620
7.56,8213,10658
7.58,8157,10639
7.6,8234,10682
7.62,8194,10688
7.64,8161,10697
7.66,8177,10647
7.68,8216,10663
7.7,8180,10708
7.72,8139,10652
7.74,8225,10650
7.76,8158,10698
7.78,8157,10691
7.8,8175,10703
7.82,8181,10668
7.84,8211,10680
7.86,8208,10679
7.88,8147,10681
7.9,8188,10645
7.92,8173,10664
7.94,8141,10647
7.96,8195,10650
7.98,8224,10680
8,8160,10678
8.02,8191,10639
8.04,8208,10687
8.06,8141,10626
8.08,8161,10687
8.1,8168,10656
8.12,8191,10641
8.14,8201,10717
8.16,8175,10668
8.18,8147,10646
8.2,8216,10666
8.22,8171,10700
8.24,8225,10688
8.26,8161,10682
8.28,8170,10653
8.3,8222,10598
8.32,8215,10699
8.34,8159,10643
8.36,8166,10634
8.38,8183,10653
8.4,8188,10721
8.42,8188,10646
8.44,8219,10656
8.46,8154,10695
8.48,8140,10639
8.5,8177,10651
8.52,8206,10664
8.54,8161,10683
8.56,8188,10619
8.58,8232,10696
8.6,8195,10725
8.62,8127,10685
8.64,8229,10674
8.66,8182,10698
8.68,8169,10670
8.7,8161,10710
8.72,8186,10653
8.74,8221,10633
8.76,8200,10682
8.78,8197,10646
8.8,8223,10668
8.82,8167,10708
8.84,8191,10699
8.86,8139,10648
8.88,8219,10653
8.9,8134,10654
8.92,8189,10698
8.94,8189,10700
8.96,8149,10621
8.98,8193,10690
9,8225,10702
9.02,8149,10687
9.04,8160,10672
9.06,8171,10647
