X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.09,-0.2,1.04,8532,10560,83.33333333,20.68965517,99.13517639,3,56.37884123,19.22836442,96.35371799
-0.03,-0.2,1.02,8464,10576,17.04545455,20.68965517,87.23612367,3,,,
-0.04,-0.2,1.01,8544,10596,57.69230769,19.60784314,97.90829775,3,,,
-0.03,-0.21,0.99,8482,10581,85.71428571,11.11111111,98.12728114,3,,,
-0.06,-0.21,0.99,8523,10593,16.94915254,21.12676056,98.02586406,3,,,
-0.05,-0.22,0.99,8553,10700,57.69230769,20.83333333,94.88633411,3,,,
-0.05,-0.19,1.01,8504,10575,85.71428571,20.68965517,94.92726344,3,,,
-0.04,-0.2,1.01,8504,10588,15.95744681,19.48051948,95.98448065,3,,,
0,-0.21,1,8543,10594,12.93103448,11.19402985,96.85935661,3,,,
-0.05,-0.21,1,8477,10619,53.57142857,20.97902098,99.83552093,3,,,
-0.08,-0.2,1.02,8496,10563,56.60377358,20.83333333,98.6127086,3,,,
0,-0.2,1.04,8541,10565,83.33333333,20.68965517,98.13072157,3,,,
-0.05,-0.2,1,8506,10636,17.04545455,19.48051948,94.88633411,3,,,
0.01,-0.2,1.05,8501,10589,57.69230769,11.11111111,94.92726344,3,,,
-0.01,-0.21,1.04,8508,10613,85.71428571,20.97902098,95.98448062,3,,,
0,-0.2,1.02,8479,10577,16.94915254,20.83333333,96.85935656,3,,,
-0.01,-0.17,0.99,8499,10515,57.69230769,20.68965517,99.83552089,3,,,
-0.03,-0.21,1.01,8559,10652,85.71428571,19.60784314,98.61270862,3,,,
-0.03,-0.19,0.98,8472,10560,15.30612245,22.72727273,98.13072162,3,,,
-0.01,-0.22,0.99,8526,10548,14.35406699,22.90076336,94.87440896,3,,,
-0.05,-0.21,1.01,8529,10602,78.94736842,19.10828025,94.84923294,3,,,
-0.01,-0.19,0.98,8478,10592,88.23529412,23.25581395,95.86580391,3,,,
-0.03,-0.19,0.99,8502,10564,57.69230769,19.23076923,99.78357475,3,,,
-0.03,-0.2,1.04,8523,10572,83.33333333,22.55639098,98.25239368,3,,,
-0.04,-0.2,0.96,8474,10599,17.04545455,19.73684211,95.45271105,3,,,
-0.01,-0.2,0.99,8476,10578,57.69230769,12.09677419,97.36382233,3,,,
0,-0.21,0.95,8507,10595,85.71428571,12.24489796,90.24173848,3,,,
-0.01,-0.21,1,8462,10566,16.94915254,12.44813278,98.35889312,3,,,
-0.08,-0.2,1,8528,10533,57.69230769,12.09677419,95.45368546,3,,,
-0.03,-0.2,1.06,8437,10564,83.33333333,12.34567901,97.36502016,3,,,
-0.06,-0.19,1.01,8501,10575,15.87301587,12.55230126,93.62879092,3,,,
-0.08,-0.21,0.98,8522,10602,22.3880597,11.67315175,99.56015376,3,,,
-0.03,-0.2,0.99,8443,10589,42.25352113,15.95744681,95.63522083,3,,,
-0.05,-0.2,0.94,8480,10545,66.66666667,14.85148515,94.84672009,3,,,
-0.03,-0.19,1.05,8533,10552,81.08108108,13.33333333,94.84303888,3,,,
-0.05,-0.2,1.01,8483,10640,56.60377358,18.75,95.84118666,3,,,
-0.05,-0.21,1.02,8494,10607,83.33333333,18.98734177,98.96678087,3,,,
-0.01,-0.19,1,8466,10603,17.14285714,19.60784314,97.58786846,3,,,
-0.04,-0.21,1,8477,10574,57.69230769,19.73684211,97.18378017,3,,,
-0.01,-0.2,1.09,8471,10514,81.08108108,20.40816327,93.28055866,3,,,
-0.08,-0.21,0.94,8527,10610,17.14285714,22.22222222,99.55636827,3,,,
-0.06,-0.2,0.98,8477,10586,57.69230769,19.73684211,95.63528657,3,,,
-0.06,-0.2,1,8442,10554,85.71428571,23.25581395,94.84672009,3,,,
-0.08,-0.21,1,8534,10568,16.48351648,19.86754967,94.84303888,3,,,
-0.03,-0.17,1.05,8489,10593,76.92307692,23.4375,95.84118664,3,,,
-0.08,-0.17,0.93,8517,10612,28.03738318,20.54794521,98.96678079,3,,,
-0.04,-0.21,1.05,8463,10644,51.72413793,23.4375,97.58786839,3,,,
