time(second),IR,RED
0,8532,10560
0.02,8464,10576
0.04,8544,10596
0.06,8482,10581
0.08,8523,10593
0.1,8553,10700
0.12,8504,10575
0.14,8504,10588
0.16,8543,10594
0.18,8477,10619
0.2,8496,10563
0.22,8541,10565
0.24,8506,10636
0.26,8501,10589
0.28,8508,10613
0.3,8479,10577
0.32,8499,10515
0.34,8559,10652
0.36,8472,10560
0.38,8526,10548
0.4,8529,10602
0.42,8478,10592
0.44,8502,10564
0.46,8523,10572
0.48,8474,10599
0.5,8476,10578
0.52,8507,10595
0.54,8462,10566
0.56,8528,10533
0.58,8437,10564
0.6,8501,10575
0.62,8522,10602
0.64,8443,10589
0.66,8480,10545
0.68,8533,10552
0.7,8483,10640
0.72,8494,10607
0.74,8466,10603
0.76,8477,10574
0.78,8471,10514
0.8,8527,10610
0.82,8477,10586
0.84,8442,10554
0.86,8534,10568
0.88,8489,10593
0.9,8517,10612
0.92,8463,10644
0.94,8482,10588
0.96,8512,10554
0.98,8521,10676
1,8472,10613
1.02,8482,10665
1.04,8543,10649
1.06,8441,10611
1.08,8500,10579
1.1,8521,10590
1.12,8420,10568
1.14,8519,10555
1.16,8443,10552
1.18,8467,10589
1.2,8444,10571
1.22,8462,10563
1.24,8463,10555
1.26,8519,10636
1.28,8457,10545
1.3,8525,10627
1.32,8443,10569
1.34,8503,10617
1.36,8465,10626
1.38,8415,10568
1.4,8496,10600
1.42,8449,10575
1.44,8460,10499
1.46,8421,10560
1.48,8426,10613
1.5,8474,10557
1.52,8472,10586
1.54,8465,10548
1.56,8470,10582
1.58,8426,10555
1.6,8491,10596
1.62,8451,10519
1.64,8486,10583
1.66,8458,10611
1.68,8423,10528
1.7,8462,10552
1.72,8441,10576
1.74,8442,10525
1.76,8414,10559
1.78,8427,10534
1.8,8401,10524
1.82,8440,10488
1.84,8500,10560
1.86,8442,10512
1.88,8443,10551
1.9,8418,10506
1.92,8492,10569
1.94,8424,10502
1.96,8436,10589
1.98,8430,10494
2,8532,10560
2.02,8464,10576
2.04,8544,10596
2.06,8482,10581
2.08,8523,10593
2.1,8553,10700
2.12,8504,10575
2.14,8504,10588
2.16,8543,10594
2.18,8477,10619
2.2,8496,10563
2.22,8541,10565
2.24,8506,10636
2.26,8501,10589
2.28,8508,10613
2.3,8479,10577
2.32,8499,10515
2.34,8559,10652
2.36,8472,10560
2.38,8526,10548
2.4,8529,10602
2.42,8478,10592
2.44,8502,10564
2.46,8523,10572
2.48,8474,10599
2.5,8476,10578
2.52,8507,10595
2.54,8462,10566
2.56,8528,10533
2.58,8437,10564
2.6,8501,10575
2.62,8522,10602
2.64,8443,10589
2.66,8480,10545
2.68,8533,10552
2.7,8483,10640
2.72,8494,10607
2.74,8466,10603
2.76,8477,10574
2.78,8471,10514
2.8,8527,10610
2.82,8477,10586
2.84,8442,10554
2.86,8534,10568
2.88,8489,10593
2.9,8517,10612
2.92,8463,10644
2.94,8482,10588
2.96,8512,10554
2.98,8521,10676
3,8472,10613
3.02,8482,10665
3.04,8543,10649
3.06,8441,10611
3.08,8500,10579
3.1,8521,10590
3.12,8420,10568
3.14,8519,10555
3.16,8443,10552
3.18,8467,10589
3.2,8444,10571
3.22,8462,10563
3.24,8463,10555
3.26,8519,10636
3.28,8457,10545
3.3,8525,10627
3.32,8443,10569
3.34,8503,10617
3.36,8465,10626
3.38,8415,10568
3.4,8496,10600
3.42,8449,10575
3.44,8460,10499
3.46,8421,10560
3.48,8426,10613
3.5,8474,10557
3.52,8472,10586
3.54,8465,10548
3.56,8470,10582
3.58,8426,10555
3.6,8491,10596
3.62,8451,10519
3.64,8486,10583
3.66,8458,10611
3.68,8423,10528
3.7,8462,10552
3.72,8441,10576
3.74,8442,10525
3.76,8414,10559
3.78,8427,10534
3.8,8401,10524
3.82,8440,10488
3.84,8500,10560
3.86,8442,10512
3.88,8443,10551
3.9,8418,10506
3.92,8492,10569
3.94,8424,10502
3.96,8436,10589
3.98,8430,10494
4,8480,10525
4.02,8462,10557
4.04,8422,10533
4.06,8486,10524
4.08,8451,10536
4.1,8390,10516
4.12,8460,10498
4.14,8460,10533
4.16,8423,10501
4.18,8461,10517
4.2,8415,10499
4.22,8476,10502
4.24,8450,10505
4.26,8444,10496
4.28,8482,10491
4.3,8389,10487
4.32,8479,10507
4.34,8415,10549
4.36,8421,10522
4.38,8450,10489
4.4,8422,10509
4.42,8500,10546
4.44,8438,10498
4.46,8468,10479
4.48,8429,10499
4.5,8462,10549
4.52,8432,10527
4.54,8411,10472
4.56,8420,10582
4.58,8421,10477
4.6,8464,10541
4.62,8472,10553
4.64,8379,10527
4.66,8453,10525
4.68,8443,10554
4.7,8435,10618
4.72,8454,10552
4.74,8413,10526
4.76,8465,10525
4.78,8437,10559
4.8,8442,10527
4.82,8475,10509
4.84,8457,10560
4.86,8461,10587
4.88,8428,10546
4.9,8455,10552
4.92,8445,10561
4.94,8427,10528
4.96,8430,10545
4.98,8476,10513
5,8425,10560
5.02,8452,10584
5.04,8427,10495
5.06,8446,10596
5.08,8437,10499
5.1,8454,10540
5.12,8441,10531
5.14,8480,10530
5.16,8434,10581
5.18,8471,10560
5.2,8392,10526
5.22,8463,10509
5.24,8455,10551
5.26,8436,10594
5.28,8446,10497
5.3,8479,10552
5.32,8467,10513
5.34,8475,10513
5.36,8390,10483
5.38,8416,10513
5.4,8438,10547
5.42,8425,10496
5.44,8465,10535
5.46,8420,10523
5.48,8421,10524
5.5,8473,10469
5.52,8424,10575
5.54,8414,10537
5.56,8451,10503
5.58,8483,10614
5.6,8427,10525
5.62,8494,10545
5.64,8470,10524
5.66,8410,10502
5.68,8462,10543
5.7,8414,10534
5.72,8420,10479
5.74,8446,10540
5.76,8454,10547
5.78,8430,10547
5.8,8425,10566
5.82,8403,10491
5.84,8446,10549
5.86,8376,10506
5.88,8444,10592
5.9,8410,10505
