X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.03,-0.29,0.94,1716,3510,63.82978723,21.27659574,98.83280296,4,97.3539437,18.76204169,93.50947408
0.26,-0.79,1.34,3571,4317,103.4482759,19.23076923,99.64000738,4,,,
0.24,-0.47,1.26,4206,4574,115.3846154,23.80952381,92.66532655,4,,,
0.04,-0.3,0.96,4229,4473,90.90909091,19.48051948,98.82890411,4,,,
-0.1,-0.17,0.73,4500,4773,115.3846154,23.4375,99.64013356,4,,,
-0.1,-0.11,0.65,4670,5375,103.4482759,18.51851852,87.59719528,4,,,
-0.16,-0.17,0.69,5950,8774,78.94736842,13.27433628,98.68205387,4,,,
-0.15,-0.21,0.69,7693,9367,61.2244898,15.87301587,85.0344879,4,,,
-0.14,-0.28,0.7,6607,8258,60,11.62790698,98.90772722,4,,,
-0.16,-0.35,0.93,7629,10417,90.90909091,20.97902098,85.03448788,4,,,
-0.19,-0.34,1.02,8100,10826,120,23.62204724,99.25746971,4,,,
-0.22,-0.32,1,8210,10768,90.90909091,16.75977654,88.61892597,4,,,
-0.24,-0.36,1,8175,10772,115.3846154,13.15789474,87.46987973,4,,,
-0.21,-0.43,1.21,8092,10662,103.4482759,17.54385965,82.2376248,4,,,
-0.2,-0.5,1.24,8147,10677,78.94736842,19.48051948,87.03870637,4,,,
-0.2,-0.44,1.2,8063,10580,61.2244898,23.07692308,85.40662709,4,,,
0,-0.73,1.3,8041,10584,60,18.51851852,83.19424181,4,,,
0.01,-0.52,1.19,8074,10627,90.90909091,20.54794521,85.62580671,4,,,
0.03,-0.51,1.05,8133,10658,120,17.54385965,87.15958142,4,,,
0.04,-0.32,0.77,8071,10686,90.90909091,16.48351648,94.70852463,4,,,
-0.08,-0.39,0.93,8089,10636,107.1428571,19.35483871,83.95101353,4,,,
0.2,-0.6,1.01,8142,10611,107.1428571,18.63354037,86.83544769,4,,,
0.2,-0.25,0.85,8135,10681,85.71428571,21.12676056,85.76012114,4,,,
0.11,-0.17,0.6,8112,10607,66.66666667,20.83333333,87.17480359,4,,,
-0.19,-0.08,0.44,8083,10543,107.1428571,20.54794521,94.7084507,4,,,
-0.21,-0.15,0.44,8076,10566,120,18.98734177,83.95101386,4,,,
-0.22,-0.22,0.57,8161,10585,85.71428571,18.98734177,86.83544767,4,,,
-0.26,-0.39,1.02,8103,10618,100,15.30612245,85.7601211,4,,,
-0.15,-0.61,1.27,8136,10592,115.3846154,19.73684211,87.17480353,4,,,
-0.16,-0.45,1.26,8189,10573,100,22.22222222,95.22348342,4,,,
-0.19,-0.43,1.26,8209,10617,103.4482759,19.48051948,91.53216074,4,,,
-0.17,-0.26,1.17,8123,10586,115.3846154,22.55639098,89.97083248,4,,,
-0.29,-0.36,1.55,8189,10573,120,18.75,93.53891855,4,,,
0.09,-0.17,1.31,8126,10608,88.23529412,21.27659574,99.65379006,4,,,
0.11,-0.16,1.08,8199,10664,100,15.70680628,95.31838283,4,,,
0.08,0.08,0.95,8188,10690,115.3846154,18.75,93.98651926,4,,,
0.19,-0.11,0.98,8231,10791,100,20.27027027,81.68311752,4,,,
0.2,-0.31,0.86,8249,10898,100,21.27659574,93.49917326,4,,,
-0.05,-0.26,0.66,8252,10892,96.77419355,20.27027027,99.65411369,4,,,
-0.15,-0.16,0.57,8243,10892,103.4482759,18.75,99.75891271,4,,,
-0.2,-0.14,0.64,8282,10911,100,18.75,90.82966329,4,,,
-0.22,-0.19,0.56,8311,10971,103.4482759,15.95744681,98.04795984,4,,,
-0.24,-0.21,0.71,8307,10941,85.71428571,23.4375,99.75835272,4,,,
-0.21,-0.37,0.95,8369,11008,107.1428571,18.63354037,90.8296631,4,,,
-0.22,-0.49,0.99,8318,11028,107.1428571,22.72727273,98.04795983,4,,,
-0.2,-0.54,1.24,8284,10976,103.4482759,18.98734177,97.89495023,4,,,
-0.17,-0.51,1.42,8325,10903,100,15.87301587,83.55761906,4,,,
-0.19,-0.32,1.27,8192,10656,96.77419355,20.13422819,91.28849842,4,,,
-0.3,-0.66,1.23,8078,10429,103.4482759,12.76595745,95.44925744,4,,,
-0.09,-0.55,1.14,7882,8795,100,19.10828025,88.98864747,4,,,
0.03,-0.6,1.01,6678,8074,103.4482759,22.05882353,88.17741736,4,,,
-0.05,-0.46,0.69,7113,9022,85.71428571,20,80.21405094,4,,,
0.13,-0.46,0.84,7650,9869,107.1428571,18.40490798,83.70345651,4,,,
0.04,-0.22,0.88,8071,10245,107.1428571,18.29268293,91.25941482,4,,,
0.04,-0.14,0.84,8171,10386,103.4482759,18.98734177,95.44811511,4,,,
0.05,-0.06,0.61,8244,10409,100,17.14285714,88.9871841,4,,,
-0.17,-0.09,0.52,8124,10905,96.77419355,17.96407186,87.84753816,4,,,
