time(second),IR,RED
0,1716,3510
0.02,3571,4317
0.04,4206,4574
0.06,4229,4473
0.08,4500,4773
0.1,4670,5375
0.12,5950,8774
0.14,7693,9367
0.16,6607,8258
0.18,7629,10417
0.2,8100,10826
0.22,8210,10768
0.24,8175,10772
0.26,8092,10662
0.28,8147,10677
0.3,8063,10580
0.32,8041,10584
0.34,8074,10627
0.36,8133,10658
0.38,8071,10686
0.4,8089,10636
0.42,8142,10611
0.44,8135,10681
0.46,8112,10607
0.48,8083,10543
0.5,8076,10566
0.52,8161,10585
0.54,8103,10618
0.56,8136,10592
0.58,8189,10573
0.6,8209,10617
0.62,8123,10586
0.64,8189,10573
0.66,8126,10608
0.68,8199,10664
0.7,8188,10690
0.72,8231,10791
0.74,8249,10898
0.76,8252,10892
0.78,8243,10892
0.8,8282,10911
0.82,8311,10971
0.84,8307,10941
0.86,8369,11008
0.88,8318,11028
0.9,8284,10976
0.92,8325,10903
0.94,8192,10656
0.96,8078,10429
0.98,7882,8795
1,6678,8074
1.02,7113,9022
1.04,7650,9869
1.06,8071,10245
1.08,8171,10386
1.1,8244,10409
1.12,8124,10905
1.14,9830,11369
1.16,8576,11011
1.18,8666,11109
1.2,8673,11187
1.22,8680,11190
1.24,8741,11164
1.26,8704,11178
1.28,8667,11053
1.3,8661,11052
1.32,8688,11034
1.34,8614,11038
1.36,8647,10985
1.38,8618,10964
1.4,8632,10949
1.42,8598,10982
1.44,8521,10934
1.46,8494,10909
1.48,8601,10949
1.5,8572,10949
1.52,8545,10865
1.54,8491,10598
1.56,8294,10568
1.58,8351,10797
1.6,8522,10951
1.62,8465,10941
1.64,8455,10864
1.66,8468,10608
1.68,8065,5334
1.7,3203,5992
1.72,8994,11211
1.74,8552,11208
1.76,8525,11246
1.78,8475,11013
1.8,8454,10937
1.82,8315,10793
1.84,8300,10808
1.86,8320,10705
1.88,8193,10630
1.9,8086,10467
1.92,7937,10296
1.94,7849,10162
1.96,7616,9943
1.98,7499,9848
2,75418579,10615
2.02,8555,10601
2.04,8569,10585
2.06,8547,10568
2.08,8559,10642
2.1,8581,10593
2.12,8581,10553
2.14,8603,10623
2.16,8544,10608
2.18,8633,10634
2.2,8613,10631
2.22,8609,10705
2.24,8626,10801
2.26,8646,10846
2.28,8736,10898
2.3,8710,10915
2.32,8761,11063
2.34,8750,11055
2.36,8784,10981
2.38,8827,11065
2.4,8804,11117
