X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0,-0.17,1.09,9489,10293,76.92307692,14.5631068,96.03041484,1,68.72966315,17.85206035,95.57673114
-0.03,-0.17,1.1,9526,10108,51.72413793,16.66666667,99.92166297,1,,,
-0.01,-0.16,1.06,9546,10217,51.72413793,15.70680628,98.75292576,1,,,
0.01,-0.15,1.09,9600,10150,50,12.39669421,81.52788708,1,,,
0.01,-0.16,1.08,9499,10141,66.66666667,11.32075472,99.95213533,1,,,
-0.01,-0.15,1.05,9425,10067,56.60377358,15.625,98.95365845,1,,,
0.01,-0.15,1.08,9500,10198,37.03703704,23.4375,88.19857516,1,,,
0.01,-0.15,1.04,9532,10144,57.69230769,17.64705882,85.93826464,1,,,
0.01,-0.15,1.06,9528,10191,78.94736842,11.95219124,96.09027284,1,,,
0.04,-0.14,1.04,9554,10441,81.08108108,14.01869159,56.46194781,1,,,
0.04,-0.16,1.08,9735,10259,63.82978723,11.62790698,99.95034043,1,,,
0.04,-0.14,1.09,9437,10203,65.2173913,22.22222222,99.88175646,1,,,
0.03,-0.16,1.05,9628,10288,41.09589041,20.83333333,95.09327668,1,,,
0.01,-0.16,1.05,9648,10299,36.58536585,17.96407186,99.49386128,1,,,
0,-0.15,1.04,9726,10375,60,21.12676056,82.98416354,1,,,
0.03,-0.16,1.05,9676,10312,29.7029703,19.35483871,99.94345748,1,,,
-0.01,-0.16,1.04,9595,10163,54.54545455,21.58273381,99.27578938,1,,,
-0.01,-0.15,1.06,9575,10298,71.42857143,19.35483871,99.94913678,1,,,
-0.01,-0.17,1.08,9762,10342,66.66666667,17.85714286,93.62598771,1,,,
0,-0.16,1.05,9635,10284,46.15384615,12.93103448,98.23191444,1,,,
0,-0.14,1.02,9628,10251,56.60377358,16.48351648,99.93368196,1,,,
-0.01,-0.15,1.01,9505,10164,93.75,20.97902098,99.5687014,1,,,
0.01,-0.14,1.06,9595,10210,53.57142857,16.85393258,98.75988537,1,,,
0,-0.15,1.08,9592,10228,81.08108108,16.48351648,99.66649775,1,,,
0.01,-0.17,1.05,9759,10309,100,17.75147929,94.25499586,1,,,
-0.01,-0.15,1.04,9573,10081,57.69230769,17.14285714,98.18836977,1,,,
0,-0.16,1.06,9552,10176,75,20,93.75875502,1,,,
0,-0.15,1.04,9577,10188,81.08108108,18.63354037,99.58727102,1,,,
0.03,-0.15,1.05,9641,10337,47.61904762,11.27819549,98.41415644,1,,,
0,-0.15,1.02,9659,10200,88.23529412,12.82051282,98.43955181,1,,,
0.01,-0.15,1.06,9587,10179,65.2173913,13.10043668,99.95663276,1,,,
-0.01,-0.14,1.05,9597,10211,71.42857143,12.44813278,89.85105991,1,,,
-0.04,-0.14,1.04,9585,10273,107.1428571,15.46391753,98.3800606,1,,,
