~Time(second),R,IR
0,9489,10293
0.02,9526,10108
0.04,9546,10217
0.06,9600,10150
0.08,9499,10141
0.1,9425,10067
0.12,9500,10198
0.14,9532,10144
0.16,9528,10191
0.18,9554,10441
0.2,9735,10259
0.22,9437,10203
0.24,9628,10288
0.26,9648,10299
0.28,9726,10375
0.3,9676,10312
0.32,9595,10163
0.34,9575,10298
0.36,9762,10342
0.38,9635,10284
0.4,9628,10251
0.42,9505,10164
0.44,9595,10210
0.46,9592,10228
0.48,9759,10309
0.5,9573,10081
0.52,9552,10176
0.54,9577,10188
0.56,9641,10337
0.58,9659,10200
0.6,9587,10179
0.62,9597,10211
0.64,9585,10273
0.66,9705,10279
0.68,9598,10251
0.7,9517,10111
0.72,9539,10201
0.74,9600,10231
0.76,9567,10220
0.78,9523,10073
0.8,9492,10192
0.82,9566,10199
0.84,9570,10288
0.86,9572,10204
0.88,9528,10044
0.9,9461,10147
0.92,9526,10176
0.94,9519,10353
0.96,9607,10223
0.98,9545,10186
1,9402,10196
1.02,9544,10206
1.04,9635,10280
1.06,9553,10170
1.08,9485,10081
1.1,9435,10170
1.12,9693,10288
1.14,9540,10177
1.16,9502,10053
1.18,9396,10117
1.2,9515,10165
1.22,9523,10184
1.24,9609,10175
1.26,9435,10149
1.28,9503,10170
1.3,9583,10277
1.32,9556,10127
1.34,9481,10148
1.36,9388,10063
1.38,9472,10129
1.4,9478,10161
1.42,9645,10242
1.44,9473,10030
1.46,9464,10126
1.48,9486,10131
1.5,9642,10265
1.52,9491,10170
1.54,9465,10111
1.56,9379,10089
1.58,9435,10148
1.6,9464,10124
1.62,9483,10141
1.64,9334,10046
1.66,9445,10118
1.68,9447,10124
1.7,9582,10217
1.72,9502,10132
1.74,9453,10113
1.76,9436,10136
1.78,9586,10209
1.8,9521,10102
1.82,9400,10126
1.84,9298,10126
1.86,9437,10235
1.88,9503,10061
1.9,9431,10107
1.92,9302,9998
1.94,9413,10093
1.96,9423,10104
1.98,9540,10178
2,9318,9900
2.02,9185,9741
2.04,9257,9766
2.06,9234,9878
2.08,9298,9718
2.1,9115,9701
2.12,9188,9740
2.14,9243,9704
2.16,9230,9632
2.18,9036,9455
2.2,9144,9662
2.22,9454,10108
2.24,9466,10165
2.26,9528,10152
2.28,9464,10186
2.3,9652,10347
2.32,9600,10281
2.34,9612,10276
2.36,9452,10174
2.38,9550,10264
2.4,9556,10278
2.42,9667,10382
2.44,9618,10291
2.46,9577,10221
2.48,9524,10349
2.5,9701,10438
2.52,9540,10384
2.54,9568,10167
2.56,9482,10253
2.58,9529,10310
2.6,9532,10329
2.62,9656,10350
2.64,9547,10283
2.66,9450,10186
2.68,9466,10249
2.7,9511,10245
2.72,9529,10341
2.74,9593,10263
2.76,9498,10177
2.78,9482,10226
2.8,9528,10225
2.82,9483,10236
2.84,9327,10103
2.86,9424,10207
2.88,9486,10195
2.9,9581,10306
2.92,9486,10244
