X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.04,-0.19,1.09,9776,11868,96.77419355,20,99.68352964,2,80.89846393,18.0755323,96.6393777
0.06,-0.19,1.08,9942,11869,90.90909091,16.75977654,89.38599219,2,,,
0.05,-0.19,1.04,9876,11911,142.8571429,11.15241636,99.21620303,2,,,
0.06,-0.19,1.05,9754,11791,50,21.12676056,99.14605753,2,,,
0.09,-0.19,1.01,9861,11997,75,21.42857143,92.1050706,2,,,
0.05,-0.19,1.01,9958,12000,90.90909091,17.54385965,87.52941521,2,,,
0.05,-0.19,1.05,9923,11952,63.82978723,19.60784314,98.56594954,2,,,
0.03,-0.19,1.06,9910,11988,130.4347826,15.78947368,99.42364115,2,,,
0.03,-0.19,1.06,9943,12025,100,20.40816327,98.65783787,2,,,
0.01,-0.2,1.01,10065,12139,100,11.49425287,99.93508704,2,,,
0.03,-0.2,1.08,9898,12021,61.2244898,17.96407186,98.72133723,2,,,
0.09,-0.2,1.05,9972,11910,68.18181818,20.13422819,53.88751185,2,,,
0.08,-0.17,1.04,9956,12048,83.33333333,12.76595745,99.89571309,2,,,
0.08,-0.17,1.05,9997,12027,78.94736842,15.70680628,99.81132225,2,,,
0.05,-0.16,1.08,9944,11917,83.33333333,20.27027027,99.43885669,2,,,
0.06,-0.17,1.08,9840,11951,75,12.98701299,99.84110825,2,,,
0.06,-0.17,1.08,9930,11969,61.2244898,19.10828025,88.68442712,2,,,
0.04,-0.19,1.06,9896,12035,40.54054054,19.73684211,96.52154079,2,,,
0.06,-0.19,1.08,9955,12023,56.60377358,12.44813278,99.73508356,2,,,
0.06,-0.2,1.01,9833,11937,56.60377358,19.35483871,99.23438745,2,,,
0.03,-0.21,1,9938,12015,85.71428571,19.60784314,99.03143634,2,,,
0.08,-0.2,1.05,9945,11999,107.1428571,18.98734177,99.41676956,2,,,
0.05,-0.2,1.02,10015,12055,78.94736842,18.86792453,91.09979111,2,,,
0.05,-0.2,1.05,9888,11974,52.63157895,20,93.00462258,2,,,
0.05,-0.19,1.04,9937,11849,50,12.93103448,99.84269441,2,,,
0.05,-0.2,1.04,9817,11965,142.8571429,13.33333333,99.83277199,2,,,
0.04,-0.2,1.06,9959,12099,61.2244898,11.36363636,94.845,2,,,
0.05,-0.2,1.12,9975,11968,73.17073171,15,96.14221407,2,,,
0.09,-0.2,1.08,9898,11948,103.4482759,15.54404145,91.3351851,2,,,
0.08,-0.2,1.06,9769,11836,100,21.27659574,99.36928004,2,,,
0.05,-0.21,1.06,9854,12067,76.92307692,20.97902098,99.31778674,2,,,
0.09,-0.2,1.08,10032,11992,78.94736842,23.80952381,90.28404403,2,,,
0.06,-0.19,1.08,9949,12048,76.92307692,16.85393258,97.05527068,2,,,
0.04,-0.19,1.08,9813,11947,78.94736842,18.51851852,94.42400728,2,,,
0.08,-0.17,1.02,9953,12023,115.3846154,20.27027027,95.47244778,2,,,
0.06,-0.19,1.02,9942,11954,166.6666667,19.73684211,97.62866952,2,,,
0.06,-0.19,1.08,9956,11996,76.92307692,16.57458564,95.78205876,2,,,
0.08,-0.19,1.05,9921,11855,83.33333333,20.54794521,90.63276781,2,,,
0.08,-0.19,1.02,9845,11899,65.2173913,19.60784314,96.50243286,2,,,
0.06,-0.19,1.02,9719,11813,66.66666667,18.98734177,99.67203707,2,,,
0.04,-0.19,1.05,9843,11847,81.08108108,22.90076336,99.3731119,2,,,
0.06,-0.19,1.04,9822,11734,62.5,19.35483871,99.70604713,2,,,
0.09,-0.19,1.08,9921,11649,78.94736842,20.83333333,99.71594038,2,,,
0.06,-0.19,1.05,9572,11516,65.2173913,19.23076923,99.23492652,2,,,
0.09,-0.19,1.04,9682,11565,73.17073171,17.85714286,99.38462868,2,,,
0.04,-0.2,1.06,9681,11675,60,21.89781022,98.08208412,2,,,
0.04,-0.19,1.08,9669,11586,115.3846154,20.13422819,97.5206255,2,,,
0.1,-0.19,1.01,9702,11428,66.66666667,18.07228916,99.95656395,2,,,
0.08,-0.19,1.06,9580,11471,81.08108108,21.27659574,96.51510386,2,,,
0.08,-0.19,1.06,9672,11542,54.54545455,17.04545455,96.8680381,2,,,
0.05,-0.19,1.04,9705,11694,50,16.57458564,97.87599312,2,,,
0.05,-0.19,1.06,9899,11950,93.75,13.82488479,99.13665413,2,,,
0.06,-0.21,1.09,9907,11944,81.08108108,17.34104046,99.66124615,2,,,
0.04,-0.19,1.09,9838,11838,69.76744186,22.3880597,98.02328193,2,,,
0.13,-0.19,1.09,9810,11666,78.94736842,21.27659574,81.38677943,2,,,
0.08,-0.19,1.05,9857,11617,107.1428571,22.55639098,95.27762123,2,,,
0.08,-0.2,0.99,9697,11510,71.42857143,19.86754967,98.9827289,2,,,
0.06,-0.21,1.04,9558,11371,46.875,15.87301587,94.845,2,,,
0.03,-0.2,1.06,9620,11500,52.63157895,12.82051282,99.41301807,2,,,
0.06,-0.2,1.06,9686,11554,93.75,20.68965517,95.95694689,2,,,
0.08,-0.2,1,9699,11572,88.23529412,19.48051948,99.83288625,2,,,
0.06,-0.2,1.01,9703,11482,78.94736842,16.75977654,99.70946807,2,,,
0.06,-0.2,1.06,9644,11563,73.17073171,12.55230126,99.37219577,2,,,
0.06,-0.21,1.05,9743,11642,76.92307692,13.82488479,95.78852255,2,,,
0.06,-0.2,1.06,9747,11762,69.76744186,22.55639098,99.86999288,2,,,
0.04,-0.2,1.05,9879,11785,54.54545455,21.12676056,98.63186917,2,,,
0.05,-0.2,1.04,9855,11821,69.76744186,17.54385965,99.83044049,2,,,
0.03,-0.2,1.05,9726,11869,73.17073171,18.63354037,96.574032,2,,,
0.01,-0.19,1.06,9852,11952,60,18.51851852,98.0313372,2,,,
0.08,-0.2,1.11,9919,11930,96.77419355,16.94915254,94.55884747,2,,,
0.13,-0.19,1.06,9897,11938,49.18032787,21.73913043,97.06873939,2,,,
0.08,-0.19,1.08,9924,11724,78.94736842,14.28571429,89.54430419,2,,,
0.04,-0.16,1.08,9802,11602,111.1111111,16.75977654,88.61501096,2,,,
0.06,-0.19,1.04,9748,11635,90.90909091,17.75147929,95.81704941,2,,,
0.05,-0.19,1.02,9741,11702,111.1111111,22.05882353,99.67847003,2,,,
0.09,-0.19,1.06,9847,11701,76.92307692,12.93103448,95.27987244,2,,,
0.06,-0.19,1.08,9796,11691,62.5,16.39344262,99.93742157,2,,,
