~Time(seconds),R,IR
0,9776,11868
0.02,9942,11869
0.04,9876,11911
0.06,9754,11791
0.08,9861,11997
0.1,9958,12000
0.12,9923,11952
0.14,9910,11988
0.16,9943,12025
0.18,10065,12139
0.2,9898,12021
0.22,9972,11910
0.24,9956,12048
0.26,9997,12027
0.28,9944,11917
0.3,9840,11951
0.32,9930,11969
0.34,9896,12035
0.36,9955,12023
0.38,9833,11937
0.4,9938,12015
0.42,9945,11999
0.44,10015,12055
0.46,9888,11974
0.48,9937,11849
0.5,9817,11965
0.52,9959,12099
0.54,9975,11968
0.56,9898,11948
0.58,9769,11836
0.6,9854,12067
0.62,10032,11992
0.64,9949,12048
0.66,9813,11947
0.68,9953,12023
0.7,9942,11954
0.72,9956,11996
0.74,9921,11855
0.76,9845,11899
0.78,9719,11813
0.8,9843,11847
0.82,9822,11734
0.84,9921,11649
0.86,9572,11516
0.88,9682,11565
0.9,9681,11675
0.92,9669,11586
0.94,9702,11428
0.96,9580,11471
0.98,9672,11542
1,9705,11694
1.02,9899,11950
1.04,9907,11944
1.06,9838,11838
1.08,9810,11666
1.1,9857,11617
1.12,9697,11510
1.14,9558,11371
1.16,9620,11500
1.18,9686,11554
1.2,9699,11572
1.22,9703,11482
1.24,9644,11563
1.26,9743,11642
1.28,9747,11762
1.3,9879,11785
1.32,9855,11821
1.34,9726,11869
1.36,9852,11952
1.38,9919,11930
1.4,9897,11938
1.42,9924,11724
1.44,9802,11602
1.46,9748,11635
1.48,9741,11702
1.5,9847,11701
1.52,9796,11691
1.54,9608,11680
1.56,9764,11733
1.58,9924,11859
1.6,9849,11853
1.62,9769,11770
1.64,9820,11825
1.66,9859,11821
1.68,9924,11925
1.7,9900,11875
1.72,9842,11832
1.74,9707,11790
1.76,9834,11888
1.78,9860,11844
1.8,9982,11932
1.82,9864,11872
1.84,9761,11821
1.86,9886,11907
1.88,9889,11953
1.9,10006,12017
1.92,9920,11960
1.94,9819,11884
1.96,9869,11936
1.98,9992,11951
2,10150,11866
2.02,10169,12216
2.04,10003,12120
2.06,9880,11988
2.08,10021,12097
2.1,10111,12186
2.12,9969,12118
2.14,10028,11901
2.16,9901,12063
2.18,10005,12132
2.2,10012,12146
2.22,10136,12112
2.24,9909,11998
2.26,10017,12121
2.28,10026,12125
2.3,10185,12244
2.32,10046,12168
2.34,10040,12005
2.36,9946,12104
2.38,10154,12205
2.4,10089,12148
2.42,10009,12180
2.44,9940,12077
2.46,10035,12152
2.48,10122,12122
2.5,10049,12158
2.52,9864,12021
2.54,9984,12103
2.56,10010,12103
2.58,10194,12207
2.6,10062,12164
2.62,9973,12123
2.64,9889,12044
2.66,10039,12142
2.68,10126,12134
2.7,10060,12141
2.72,9901,12027
2.74,9995,12081
