X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.73,0.46,0.52,10278,11695,65.2173913,21.58273381,99.50140438,3,80.67405752,19.04291696,96.32909337
0.74,0.46,0.52,10161,11581,63.82978723,20,98.50325513,3,,,
0.71,0.46,0.54,10196,11665,76.92307692,18.75,80.80960979,3,,,
0.74,0.47,0.52,10343,11634,90.90909091,18.18181818,88.76571197,3,,,
0.75,0.46,0.54,10101,11521,150,15.625,98.37247203,3,,,
0.74,0.47,0.59,10216,11641,78.94736842,22.90076336,97.98212996,3,,,
0.74,0.45,0.56,10249,11660,71.42857143,22.55639098,98.61745077,3,,,
0.71,0.45,0.54,10253,11780,54.54545455,20.68965517,95.20661172,3,,,
0.73,0.45,0.51,10327,11495,69.76744186,14.08450704,99.93157018,3,,,
0.75,0.46,0.52,10147,11611,69.76744186,20.83333333,95.7847418,3,,,
0.75,0.47,0.55,10254,11650,75,16.85393258,95.7778319,3,,,
0.76,0.46,0.56,10316,11689,51.72413793,17.85714286,91.19580295,3,,,
0.76,0.47,0.54,10260,11651,81.08108108,19.10828025,94.79672864,3,,,
0.74,0.47,0.59,10141,11574,103.4482759,18.63354037,99.0693115,3,,,
0.76,0.46,0.56,10257,11655,136.3636364,22.90076336,97.63329609,3,,,
0.75,0.47,0.54,10248,11656,81.08108108,21.12676056,99.67601142,3,,,
0.77,0.47,0.56,10342,11730,63.82978723,19.86754967,99.1689401,3,,,
0.74,0.46,0.62,10272,11658,76.92307692,21.58273381,97.75114743,3,,,
0.74,0.47,0.62,10221,11578,88.23529412,22.3880597,86.70373394,3,,,
0.76,0.46,0.6,10162,11640,120,20.68965517,94.40232787,3,,,
0.76,0.46,0.54,10247,11650,78.94736842,19.10828025,99.90342074,3,,,
0.74,0.47,0.55,10257,11690,78.94736842,21.27659574,94.54687412,3,,,
0.74,0.45,0.59,10250,11604,69.76744186,21.73913043,98.80450426,3,,,
0.71,0.44,0.59,10142,11597,46.875,18.29268293,99.47328502,3,,,
0.75,0.45,0.59,10244,11668,88.23529412,20.54794521,98.23893042,3,,,
0.74,0.46,0.61,10250,11841,81.08108108,19.73684211,99.45494795,3,,,
0.76,0.46,0.62,10274,11679,120,18.75,96.86043075,3,,,
0.75,0.45,0.61,10168,11604,107.1428571,21.58273381,94.57639765,3,,,
0.75,0.46,0.61,10233,11689,93.75,14.85148515,94.1549099,3,,,
0.74,0.45,0.6,10257,11829,73.17073171,22.22222222,96.22820238,3,,,
0.76,0.47,0.6,10318,11652,62.5,19.23076923,97.13825311,3,,,
0.75,0.47,0.51,10288,11706,71.42857143,19.60784314,98.74425721,3,,,
0.75,0.43,0.56,10149,11619,88.23529412,19.60784314,97.74992673,3,,,
0.77,0.45,0.51,10228,11680,107.1428571,14.77832512,88.54634715,3,,,
0.75,0.47,0.56,10268,11704,120,17.64705882,93.81749372,3,,,
0.75,0.44,0.55,10331,11846,90.90909091,12.39669421,95.85701564,3,,,
0.7,0.45,0.59,10151,11558,157.8947368,22.72727273,97.55016706,3,,,
0.71,0.45,0.6,10195,11679,115.3846154,21.42857143,88.30281692,3,,,
0.71,0.45,0.55,10241,11682,83.33333333,20.27027027,91.58680573,3,,,
0.75,0.44,0.52,10259,11807,214.2857143,12.5,94.10725128,3,,,
0.71,0.46,0.5,10361,11685,65.2173913,12.29508197,92.28919425,3,,,
0.69,0.47,0.57,10263,11688,73.17073171,14.01869159,89.69327559,3,,,
0.73,0.49,0.55,10095,11549,50,13.04347826,99.40548308,3,,,
0.76,0.45,0.57,10202,11662,73.17073171,11.32075472,97.90147517,3,,,
0.76,0.44,0.52,10257,11645,73.17073171,18.07228916,96.71500867,3,,,
0.74,0.46,0.57,10325,11769,75,16.66666667,99.08185839,3,,,
0.73,0.45,0.62,10212,11508,57.69230769,18.29268293,83.49845571,3,,,
0.71,0.45,0.6,10143,11629,69.76744186,17.85714286,98.82516757,3,,,
0.74,0.45,0.57,10210,11657,62.5,15.07537688,99.5739121,3,,,
0.73,0.47,0.54,10238,11696,75,17.44186047,93.70240997,3,,,
0.76,0.45,0.55,10319,11716,125,20,98.52218624,3,,,
0.77,0.45,0.59,10162,11521,107.1428571,22.72727273,82.37788058,3,,,
0.76,0.45,0.56,10224,11647,78.94736842,18.07228916,99.56557963,3,,,
0.74,0.43,0.55,10235,11648,73.17073171,20,95.97818129,3,,,
0.76,0.45,0.61,10393,11767,60,22.55639098,99.9043343,3,,,
0.76,0.49,0.56,10219,11705,88.23529412,21.12676056,97.79915521,3,,,
0.71,0.45,0.54,10259,11549,81.08108108,19.35483871,80.99698013,3,,,
0.73,0.45,0.59,10128,11610,166.6666667,18.51851852,99.92740448,3,,,
0.74,0.46,0.59,10227,11650,73.17073171,17.24137931,99.87392295,3,,,
0.76,0.46,0.56,10263,11660,88.23529412,17.64705882,99.53105043,3,,,
0.76,0.44,0.55,10373,11671,76.92307692,18.07228916,93.73867819,3,,,
0.75,0.45,0.55,10266,11592,103.4482759,19.23076923,93.59702774,3,,,
0.76,0.43,0.59,10150,11624,115.3846154,19.10828025,93.39751306,3,,,
0.75,0.44,0.52,10259,11807,75,21.58273381,94.77032051,3,,,
0.73,0.46,0.54,10331,11699,71.42857143,20.68965517,88.09816822,3,,,
0.7,0.44,0.61,10259,11682,65.2173913,14.63414634,99.95564125,3,,,
0.71,0.45,0.56,10158,11603,83.33333333,11.32075472,82.38857522,3,,,
0.74,0.41,0.54,10237,11683,107.1428571,16.85393258,99.94702189,3,,,
0.75,0.46,0.56,10238,11710,111.1111111,21.73913043,98.08008627,3,,,
0.74,0.46,0.54,10408,11811,73.17073171,20.27027027,98.62767241,3,,,
0.76,0.43,0.54,10205,11690,78.94736842,20.40816327,83.42934918,3,,,
0.71,0.46,0.56,10203,11697,76.92307692,20.97902098,92.33812409,3,,,
0.74,0.47,0.55,10252,11709,73.17073171,21.89781022,95.06115568,3,,,
0.71,0.45,0.57,10270,11830,66.66666667,16.75977654,88.67291457,3,,,
0.74,0.45,0.52,10340,11721,93.75,21.73913043,97.79990415,3,,,
0.71,0.44,0.52,10248,11702,76.92307692,23.25581395,99.58579276,3,,,
0.71,0.44,0.51,10114,11536,75,18.63354037,94.89115024,3,,,
0.75,0.43,0.55,10227,11655,120,21.89781022,86.70350515,3,,,
0.71,0.47,0.55,10235,11695,88.23529412,22.05882353,92.39785607,3,,,
0.71,0.44,0.55,10243,11642,78.94736842,17.14285714,97.70233953,3,,,
0.75,0.46,0.52,10116,11509,78.94736842,22.22222222,98.66911033,3,,,
0.77,0.44,0.57,10175,11582,142.8571429,22.22222222,98.58826973,3,,,
0.77,0.43,0.54,10227,11638,107.1428571,20.68965517,88.91073144,3,,,
0.77,0.45,0.55,10222,11657,81.08108108,18.40490798,99.63190888,3,,,
0.74,0.46,0.55,10232,11507,130.4347826,18.18181818,92.58366444,3,,,
0.75,0.45,0.55,10105,11581,90.90909091,21.89781022,97.52646121,3,,,
0.74,0.44,0.62,10203,11629,83.33333333,18.63354037,84.08515143,3,,,
0.73,0.45,0.56,10233,11684,88.23529412,14.63414634,94.99480816,3,,,
0.76,0.46,0.54,10338,11740,93.75,16.30434783,82.65159979,3,,,
0.76,0.45,0.55,10224,11654,142.8571429,15.46391753,99.60241336,3,,,
0.74,0.45,0.56,10242,11514,83.33333333,20.54794521,95.0099178,3,,,
0.76,0.45,0.59,10151,11613,85.71428571,15.87301587,87.72694245,3,,,
0.75,0.44,0.55,10226,11645,85.71428571,21.27659574,94.643528,3,,,
0.75,0.44,0.52,10208,11738,58.82352941,22.22222222,95.03830662,3,,,
0.73,0.44,0.57,10321,11639,83.33333333,19.73684211,92.00522918,3,,,
0.76,0.46,0.51,10218,11637,88.23529412,18.86792453,97.74989213,3,,,
0.74,0.47,0.54,10205,11612,111.1111111,19.10828025,99.06850696,3,,,
0.73,0.45,0.55,10217,11675,100,20.13422819,87.96694312,3,,,
0.73,0.44,0.56,10295,11587,83.33333333,23.62204724,99.85903906,3,,,
0.74,0.44,0.57,10132,11535,100,20.40816327,98.13056069,3,,,
0.76,0.47,0.54,10262,11636,58.82352941,23.80952381,99.93747912,3,,,
0.74,0.44,0.56,10135,11501,71.42857143,22.55639098,95.80673653,3,,,
0.73,0.46,0.55,10105,11590,73.17073171,17.24137931,99.51032404,3,,,
0.7,0.45,0.59,10180,11601,88.23529412,18.63354037,99.10875077,3,,,
0.7,0.44,0.55,10271,11689,83.33333333,18.51851852,99.58390904,3,,,
0.71,0.49,0.56,10260,11631,68.18181818,21.89781022,97.18510396,3,,,
0.75,0.45,0.56,10188,11585,78.94736842,19.60784314,99.05439406,3,,,
0.75,0.47,0.6,9999,11454,103.4482759,23.4375,83.08861416,3,,,
0.77,0.47,0.57,10148,11571,93.75,14.5631068,86.74555808,3,,,
0.76,0.46,0.56,10174,11565,71.42857143,14.42307692,97.79130832,3,,,
0.73,0.46,0.56,10302,11574,83.33333333,17.64705882,97.48022253,3,,,
0.71,0.44,0.57,10043,11472,65.2173913,14.63414634,97.53719139,3,,,
0.69,0.44,0.59,10154,11552,76.92307692,16.30434783,86.96990556,3,,,
0.74,0.44,0.52,10175,11582,90.90909091,16.48351648,96.67540109,3,,,
0.73,0.46,0.55,10290,11634,176.4705882,21.42857143,97.03713939,3,,,
0.75,0.45,0.55,10160,11571,100,20.40816327,96.74408706,3,,,
0.75,0.45,0.54,10188,11451,78.94736842,19.48051948,97.38673471,3,,,
0.75,0.47,0.59,10042,11499,85.71428571,19.73684211,97.58105422,3,,,
0.75,0.5,0.6,10170,11555,125,19.86754967,96.7042688,3,,,
0.74,0.49,0.62,10166,11551,90.90909091,21.89781022,91.60274746,3,,,
