~Time(seconds),R,IR
0,10278,11695
0.02,10161,11581
0.04,10196,11665
0.06,10343,11634
0.08,10101,11521
0.1,10216,11641
0.12,10249,11660
0.14,10253,11780
0.16,10327,11495
0.18,10147,11611
0.2,10254,11650
0.22,10316,11689
0.24,10260,11651
0.26,10141,11574
0.28,10257,11655
0.3,10248,11656
0.32,10342,11730
0.34,10272,11658
0.36,10221,11578
0.38,10162,11640
0.4,10247,11650
0.42,10257,11690
0.44,10250,11604
0.46,10142,11597
0.48,10244,11668
0.5,10250,11841
0.52,10274,11679
0.54,10168,11604
0.56,10233,11689
0.58,10257,11829
0.6,10318,11652
0.62,10288,11706
0.64,10149,11619
0.66,10228,11680
0.68,10268,11704
0.7,10331,11846
0.72,10151,11558
0.74,10195,11679
0.76,10241,11682
0.78,10259,11807
0.8,10361,11685
0.82,10263,11688
0.84,10095,11549
0.86,10202,11662
0.88,10257,11645
0.9,10325,11769
0.92,10212,11508
0.94,10143,11629
0.96,10210,11657
0.98,10238,11696
1,10319,11716
1.02,10162,11521
1.04,10224,11647
1.06,10235,11648
1.08,10393,11767
1.1,10219,11705
1.12,10259,11549
1.14,10128,11610
1.16,10227,11650
1.18,10263,11660
1.2,10373,11671
1.22,10266,11592
1.24,10150,11624
1.26,10259,11807
1.28,10331,11699
1.3,10259,11682
1.32,10158,11603
1.34,10237,11683
1.36,10238,11710
1.38,10408,11811
1.4,10205,11690
1.42,10203,11697
1.44,10252,11709
1.46,10270,11830
1.48,10340,11721
1.5,10248,11702
1.52,10114,11536
1.54,10227,11655
1.56,10235,11695
1.58,10243,11642
1.6,10116,11509
1.62,10175,11582
1.64,10227,11638
1.66,10222,11657
1.68,10232,11507
1.7,10105,11581
1.72,10203,11629
1.74,10233,11684
1.76,10338,11740
1.78,10224,11654
1.8,10242,11514
1.82,10151,11613
1.84,10226,11645
1.86,10208,11738
1.88,10321,11639
1.9,10218,11637
1.92,10205,11612
1.94,10217,11675
1.96,10295,11587
1.98,10132,11535
2,10262,11636
2.02,10135,11501
2.04,10105,11590
2.06,10180,11601
2.08,10271,11689
2.1,10260,11631
2.12,10188,11585
2.14,9999,11454
2.16,10148,11571
2.18,10174,11565
2.2,10302,11574
2.22,10043,11472
2.24,10154,11552
2.26,10175,11582
2.28,10290,11634
2.3,10160,11571
2.32,10188,11451
2.34,10042,11499
2.36,10170,11555
2.38,10166,11551
2.4,10282,11656
2.42,10185,11562
2.44,10144,11450
2.46,10066,11553
2.48,10146,11550
2.5,10322,11654
2.52,10118,11559
2.54,10163,11447
2.56,10067,11486
2.58,10167,11546
2.6,10120,11541
2.62,10296,11622
2.64,10185,11469
2.66,10113,11557
2.68,10154,11519
2.7,10288,11675
2.72,10186,11594
2.74,10178,11547
2.76,10055,11496
