X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.09,-0.2,0.99,10160,11274,55.55555556,19.10828025,99.76725429,4,72.71119432,17.88764989,95.52173809
0.14,-0.24,1.02,10098,11096,85.71428571,23.25581395,99.84020861,4,,,
0.11,-0.2,1.02,10091,11135,61.2244898,11.81102362,96.8864039,4,,,
0.06,-0.21,1.02,10170,11143,100,22.55639098,85.48137195,4,,,
0.05,-0.21,1.05,10067,11055,55.55555556,20.40816327,98.8239118,4,,,
0.1,-0.22,1.01,9941,10987,47.61904762,16.57458564,98.03480751,4,,,
0.09,-0.22,1.08,10062,11026,69.76744186,20,84.92463297,4,,,
0.09,-0.22,1.05,10093,11036,44.11764706,21.27659574,96.22442973,4,,,
0.08,-0.2,1.06,10155,11166,42.85714286,20.97902098,99.18416048,4,,,
0.08,-0.21,1.01,10154,11006,111.1111111,14.63414634,99.40916017,4,,,
0.08,-0.2,1.02,10088,11062,61.2244898,14.01869159,98.21460053,4,,,
0.06,-0.2,1.08,9912,10939,46.875,13.4529148,97.79961522,4,,,
0.04,-0.2,1.08,10041,11031,73.17073171,20.97902098,96.23855843,4,,,
0.08,-0.22,1.08,10059,11041,69.76744186,23.4375,94.38737443,4,,,
0.04,-0.2,1.02,10194,11153,96.77419355,17.64705882,94.75370465,4,,,
0.04,-0.2,1.05,10070,11080,73.17073171,18.63354037,99.04904475,4,,,
0.1,-0.22,1.11,10073,10974,107.1428571,11.67315175,99.56279248,4,,,
0.09,-0.21,1.1,9986,10980,62.5,21.89781022,99.46648018,4,,,
0.15,-0.2,1.04,10063,11045,93.75,22.72727273,95.89276754,4,,,
0.14,-0.16,1.05,10061,11002,93.75,22.90076336,92.67809481,4,,,
0.14,-0.2,0.99,10154,11099,62.5,16.04278075,97.54631436,4,,,
0.19,-0.17,1.01,10068,11021,53.57142857,21.27659574,96.16767812,4,,,
0.16,-0.19,0.99,10014,10973,88.23529412,19.60784314,94.9147115,4,,,
0.15,-0.19,1,10037,11013,83.33333333,20.27027027,90.84635702,4,,,
0.15,-0.21,1.05,10194,11086,83.33333333,22.05882353,99.72707219,4,,,
0.16,-0.21,1.02,10107,10850,38.96103896,19.73684211,99.83645688,4,,,
0.14,-0.2,1.06,9956,10975,96.77419355,16.21621622,94.16511362,4,,,
0.16,-0.21,1.06,10055,10985,43.47826087,20.83333333,95.01563976,4,,,
0.16,-0.2,1.02,10055,11019,96.77419355,19.23076923,89.27352111,4,,,
0.15,-0.2,1.02,10145,11035,40.54054054,19.35483871,99.7634893,4,,,
0.19,-0.21,1.01,10066,10874,46.15384615,18.40490798,92.8527388,4,,,
0.14,-0.21,1.02,9999,10946,63.82978723,19.73684211,91.29851277,4,,,
0.14,-0.21,1,10020,10945,120,13.21585903,98.76861482,4,,,
0.17,-0.21,1.02,10158,11009,71.42857143,18.75,93.67541053,4,,,
0.14,-0.22,0.99,10068,10921,93.75,15,89.57071521,4,,,
0.15,-0.21,0.96,9979,10800,83.33333333,12.5,99.94706556,4,,,
0.14,-0.22,0.99,9925,10886,55.55555556,18.51851852,99.78962473,4,,,
0.14,-0.25,1.06,10005,10925,66.66666667,23.4375,80.61528123,4,,,
0.11,-0.24,1.08,10052,10997,76.92307692,19.48051948,99.40586597,4,,,
0.1,-0.2,1.05,10114,10902,76.92307692,20.83333333,82.10269278,4,,,
0.14,-0.2,1.1,10043,10846,68.18181818,22.72727273,82.56726907,4,,,
0.11,-0.2,1.04,10024,10943,111.1111111,22.22222222,80.89996868,4,,,
0.13,-0.2,1.01,10025,10941,76.92307692,20.97902098,99.9264912,4,,,
0.13,-0.2,1,10166,11033,75,15.625,94.43809335,4,,,
0.14,-0.21,1.02,10052,10932,45.45454545,20.97902098,91.52343244,4,,,
0.13,-0.21,0.99,9981,10904,42.25352113,14.35406699,92.66952851,4,,,
0.1,-0.22,0.96,10043,10905,49.18032787,14.85148515,99.77595165,4,,,
0.09,-0.25,1.04,10200,11016,96.77419355,18.75,97.69544688,4,,,
0.14,-0.22,0.99,9991,10902,63.82978723,15.87301587,94.10646249,4,,,
0.16,-0.25,1.04,10020,10835,100,18.29268293,96.58052429,4,,,
0.1,-0.25,1,9913,10821,71.42857143,16.30434783,99.28967668,4,,,
0.11,-0.25,1.05,9997,10897,130.4347826,18.63354037,93.30034491,4,,,
0.09,-0.24,1.05,10030,10901,76.92307692,17.54385965,99.51931041,4,,,
0.08,-0.25,1.02,10090,10989,93.75,19.23076923,98.84401552,4,,,
0.09,-0.28,1.02,10046,10900,107.1428571,23.62204724,92.11732373,4,,,
0.11,-0.29,1.02,10006,10894,62.5,21.12676056,98.83983982,4,,,
0.1,-0.28,0.99,10041,10904,90.90909091,19.86754967,91.17319217,4,,,
0.06,-0.28,1.04,10102,11027,46.15384615,17.85714286,93.70447708,4,,,
0.11,-0.26,1.01,10071,10882,111.1111111,13.63636364,99.8126575,4,,,
0.11,-0.28,1.04,9967,10913,48.38709677,15.46391753,94.845,4,,,
0.1,-0.29,1.09,9893,10943,85.71428571,13.69863014,99.38826905,4,,,
0.13,-0.29,1.05,10026,10983,40.54054054,23.4375,92.15290792,4,,,
0.08,-0.24,1.01,10146,11041,115.3846154,18.18181818,86.05882905,4,,,
0.05,-0.24,1.05,10084,10970,71.42857143,20.54794521,95.76716973,4,,,
0.1,-0.22,1.06,9962,10839,103.4482759,23.62204724,91.48883296,4,,,
0.09,-0.22,1.06,9932,10906,66.66666667,19.23076923,99.77313706,4,,,
0.13,-0.24,1,9984,10926,115.3846154,13.88888889,80.69191925,4,,,
0.09,-0.24,1,10083,11049,40,12.34567901,99.26377223,4,,,
0.13,-0.24,1.01,10113,11023,50,13.88888889,97.98984876,4,,,
0.08,-0.25,1.05,10041,10987,76.92307692,11.9047619,99.81514708,4,,,
0.06,-0.24,1.01,9933,10912,65.2173913,20.97902098,97.59847388,4,,,
0.08,-0.24,1.08,9990,10976,56.60377358,12.71186441,97.89182551,4,,,
0.11,-0.19,1.02,10037,10998,78.94736842,19.35483871,99.90075728,4,,,
0.09,-0.17,1.01,10197,11095,69.76744186,15.78947368,98.81832919,4,,,
0.1,-0.2,1.01,10064,11011,78.94736842,19.73684211,99.9554335,4,,,
0.09,-0.22,0.99,10055,10895,81.08108108,22.3880597,99.90596739,4,,,
0.09,-0.21,0.96,9942,10965,90.90909091,19.23076923,84.45437161,4,,,
0.09,-0.25,0.95,10031,11004,96.77419355,18.75,99.0361466,4,,,
0.06,-0.24,1,10063,11112,65.2173913,20.97902098,92.74507309,4,,,
0.06,-0.2,1,10174,11033,43.47826087,20.97902098,98.40184795,4,,,
0.08,-0.21,1.02,10075,11023,100,15.625,98.77182419,4,,,
0.06,-0.22,1.09,9904,10915,46.875,15.30612245,99.38670837,4,,,
0.06,-0.17,1.08,10026,10988,88.23529412,12.5,98.56346785,4,,,
0.09,-0.2,1.09,10052,11016,100,18.18181818,94.845,4,,,
0.09,-0.19,1.01,10072,10998,90.90909091,15.38461538,99.01699984,4,,,
0.13,-0.21,1.09,10009,10891,53.57142857,20.27027027,91.01870256,4,,,
0.05,-0.2,1.01,9974,10963,62.5,13.57466063,99.92594253,4,,,
0.05,-0.22,0.96,10055,10963,52.63157895,18.18181818,98.34174061,4,,,
0.06,-0.25,1,10047,11130,37.5,13.57466063,97.79844002,4,,,
0.04,-0.25,1.04,10057,10903,71.42857143,15.07537688,96.36429059,4,,,
-0.01,-0.24,1.09,9927,10915,65.2173913,17.24137931,98.93045655,4,,,
0.08,-0.24,1.06,10023,10977,46.15384615,16.85393258,99.50067587,4,,,
0.01,-0.24,1.02,10029,10989,45.45454545,11.81102362,96.33961138,4,,,
0.03,-0.22,1.02,10123,11025,44.11764706,13.10043668,89.41281767,4,,,
0.05,-0.2,1.05,10037,10950,85.71428571,16.30434783,99.54675155,4,,,
0.04,-0.24,1.04,9915,10832,76.92307692,12.39669421,98.80332169,4,,,
0.1,-0.22,1.06,9967,10927,66.66666667,16.57458564,95.82419207,4,,,
0.1,-0.22,1.05,10043,11004,50,20.27027027,99.90709261,4,,,
0.05,-0.22,1.08,9975,10962,38.46153846,19.10828025,99.55750935,4,,,
0.03,-0.21,1.09,10029,10835,57.69230769,13.82488479,99.08662417,4,,,
0.04,-0.22,1.06,10001,10989,83.33333333,14.92537313,91.7157005,4,,,
0.05,-0.21,1.06,10051,11017,69.76744186,17.44186047,99.83445869,4,,,
0.05,-0.2,1.1,10058,11008,50,15.38461538,80.36101075,4,,,
