~Time(seconds),R,IR
0,10160,11274
0.02,10098,11096
0.04,10091,11135
0.06,10170,11143
0.08,10067,11055
0.1,9941,10987
0.12,10062,11026
0.14,10093,11036
0.16,10155,11166
0.18,10154,11006
0.2,10088,11062
0.22,9912,10939
0.24,10041,11031
0.26,10059,11041
0.28,10194,11153
0.3,10070,11080
0.32,10073,10974
0.34,9986,10980
0.36,10063,11045
0.38,10061,11002
0.4,10154,11099
0.42,10068,11021
0.44,10014,10973
0.46,10037,11013
0.48,10194,11086
0.5,10107,10850
0.52,9956,10975
0.54,10055,10985
0.56,10055,11019
0.58,10145,11035
0.6,10066,10874
0.62,9999,10946
0.64,10020,10945
0.66,10158,11009
0.68,10068,10921
0.7,9979,10800
0.72,9925,10886
0.74,10005,10925
0.76,10052,10997
0.78,10114,10902
0.8,10043,10846
0.82,10024,10943
0.84,10025,10941
0.86,10166,11033
0.88,10052,10932
0.9,9981,10904
0.92,10043,10905
0.94,10200,11016
0.96,9991,10902
0.98,10020,10835
1,9913,10821
1.02,9997,10897
1.04,10030,10901
1.06,10090,10989
1.08,10046,10900
1.1,10006,10894
1.12,10041,10904
1.14,10102,11027
1.16,10071,10882
1.18,9967,10913
1.2,9893,10943
1.22,10026,10983
1.24,10146,11041
1.26,10084,10970
1.28,9962,10839
1.3,9932,10906
1.32,9984,10926
1.34,10083,11049
1.36,10113,11023
1.38,10041,10987
1.4,9933,10912
1.42,9990,10976
1.44,10037,10998
1.46,10197,11095
1.48,10064,11011
1.5,10055,10895
1.52,9942,10965
1.54,10031,11004
1.56,10063,11112
1.58,10174,11033
1.6,10075,11023
1.62,9904,10915
1.64,10026,10988
1.66,10052,11016
1.68,10072,10998
1.7,10009,10891
1.72,9974,10963
1.74,10055,10963
1.76,10047,11130
1.78,10057,10903
1.8,9927,10915
1.82,10023,10977
1.84,10029,10989
1.86,10123,11025
1.88,10037,10950
1.9,9915,10832
1.92,9967,10927
1.94,10043,11004
1.96,9975,10962
1.98,10029,10835
2,10001,10989
2.02,10051,11017
2.04,10058,11008
2.06,9944,10891
2.08,10046,10997
2.1,10069,10984
2.12,10193,11068
2.14,10071,10967
2.16,10031,10941
2.18,9963,10902
2.2,10029,10949
2.22,10030,10951
2.24,10171,11065
2.26,10078,10981
2.28,9957,10829
2.3,9958,10939
2.32,10014,10965
2.34,10031,11051
2.36,10165,11058
2.38,10023,10991
2.4,10056,11029
2.42,10082,11089
2.44,10203,11193
2.46,10126,11083
2.48,10039,10946
2.5,10003,11005
2.52,10080,11058
2.54,10086,11141
2.56,10172,11105
2.58,10057,11023
2.6,10062,11029
2.62,10056,11007
2.64,10188,11119
2.66,10037,11087
2.68,10088,10987
2.7,10132,11106
2.72,10146,11246
2.74,10169,11129
2.76,10130,11173
2.78,10024,11128
2.8,10119,11186
2.82,10152,11175
2.84,10307,11197
2.86,10073,11058
2.88,10054,11154
2.9,10133,11185
2.92,10096,11303
2.94,10190,11151
2.96,10117,11115
2.98,9995,11057
3,10115,11133
3.02,10225,11235
3.04,10135,11165
3.06,10102,11064
3.08,10079,11162
3.1,10118,11157
3.12,10114,11254
3.14,10191,11102
3.16,9984,11029
3.18,10093,11101
3.2,10082,11059
3.22,10184,11154
3.24,10127,11079
3.26,10098,10950
3.28,9993,11071
3.3,10226,11212
3.32,10117,11136
3.34,10094,11106
3.36,9996,11026
3.38,10100,11130
3.4,10094,11075
3.42,10200,11173
3.44,10112,11028
3.46,10050,11085
3.48,10108,11092
3.5,10245,11190
3.52,10051,11104
3.54,10082,11003
3.56,9979,11065
3.58,10103,11116
3.6,10165,11085
3.62,10146,11128
3.64,9954,10974
3.66,10062,11064
3.68,10073,11076
3.7,10169,11136
3.72,10048,11030
3.74,10082,11075
3.76,10078,11133
3.78,10200,11209
3.8,10085,11153
3.82,10112,11129
3.84,9985,11089
3.86,10098,11130
3.88,10089,11116
3.9,10101,11105
3.92,9925,10964
3.94,10006,11030
3.96,10074,11028
3.98,10223,11123
4,9985,10909
4.02,10010,10964
4.04,10129,11030
4.06,10029,11003
4.08,9971,10904
4.1,10057,10978
4.12,10041,11098
4.14,10128,10966
4.16,10007,10977
4.18,9854,10849
4.2,9972,10948
4.22,10021,10963
4.24,10088,11064
4.26,10050,11024
4.28,10020,10957
4.3,9897,10846
4.32,9997,10914
4.34,9990,10911
4.36,10109,11012
4.38,10026,10914
4.4,9961,10828
4.42,9909,10889
4.44,9983,10908
4.46,9952,10970
4.48,10074,10932
4.5,9988,10869
4.52,9824,10800
4.54,9909,10866
4.56,9928,10968
4.58,9916,10915
4.6,9976,10778
4.62,9846,10864
4.64,9961,10884
4.66,9928,10871
4.68,10047,10985
4.7,9987,10923
4.72,9932,10943
4.74,9989,10962
4.76,10153,11083
4.78,10063,10980
4.8,9998,10992
4.82,9999,11006
4.84,9986,11090
4.86,10104,11007
4.88,10021,11006
4.9,9847,10891
4.92,9990,11038
4.94,10022,10990
4.96,10161,11102
4.98,10028,11014
5,9940,10959
5.02,10007,10971
5.04,10013,11100
5.06,10100,10997
5.08,10054,11024
5.1,9919,10964
5.12,10026,11092
5.14,10191,11196
5.16,10084,11116
5.18,9997,10970
5.2,9991,11050
5.22,10021,11061
5.24,10034,11184
5.26,10136,11103
5.28,10092,11025
5.3,10043,11063
5.32,10043,11168
5.34,10152,11113
5.36,10045,11133
5.38,9979,11064
5.4,10078,11195
5.42,10107,11218
5.44,10241,11305
5.46,10083,11223
5.48,10111,11158
5.5,10111,11237
5.52,10147,11349
5.54,10250,11246
5.56,10142,11261
5.58,9981,11120
5.6,10099,11208
5.62,10196,11294
5.64,10113,11205
5.66,9962,11103
5.68,10035,11169
5.7,10083,11192
5.72,10074,11327
5.74,10178,11161
5.76,10062,11178
5.78,9941,11058
5.8,10035,11151
5.82,10055,11235
5.84,10082,11175
5.86,9984,10995
5.88,9940,11101
5.9,10035,11118
5.92,10031,11072
5.94,9998,10990
5.96,9930,11021
5.98,10012,11068
6,10164,11193
6.02,10025,11108
6.04,9818,10972
6.06,9990,11123
6.08,10108,11159
6.1,10029,11061
6.12,9861,10960
6.14,9914,11048
6.16,9991,11157
6.18,9994,11112
6.2,10026,11051
6.22,9978,11070
6.24,10021,11136
6.26,10065,11168
6.28,10005,11157
6.3,10063,11170
6.32,10221,11282
6.34,10042,11209
6.36,10063,11009
6.38,10071,11174
6.4,10213,11288
6.42,10078,11171
6.44,10040,11100
6.46,9934,11018
6.48,10085,11034
6.5,9863,10966
6.52,9968,11069
6.54,10025,11094
6.56,10117,11183
6.58,10098,10959
6.6,10002,11086
6.62,10018,11093
6.64,10132,11220
6.66,10102,11126
6.68,10013,11198
6.7,10011,11061
6.72,9841,10958
6.74,9966,11058
6.76,10144,11141
6.78,9953,11026
6.8,10124,11133
6.82,9946,11046
6.84,9992,10874
6.86,9920,11003
6.88,9985,10977
6.9,10016,11161
6.92,10072,11121
6.94,10005,11009
6.96,9976,11066
6.98,10005,11059
7,10128,11148
7.02,10044,11083
7.04,9906,11030
7.06,9999,11060
7.08,10119,11179
7.1,10018,11076
7.12,9843,10939
7.14,9970,11022
7.16,9986,11007
7.18,10098,11108
7.2,9985,11018
7.22,9917,10904
7.24,9875,10986
7.26,9979,11018
7.28,10141,11114
7.3,9971,11114
7.32,9982,10993
7.34,9928,10874
7.36,9967,11009
7.38,10090,11115
7.4,10005,10996
7.42,10078,11110
7.44,9968,11008
7.46,10000,10911
7.48,9872,10952
7.5,10005,10994
7.52,9990,11027
7.54,9881,11039
7.56,10043,11036
7.58,9979,11024
7.6,9878,11011
7.62,10008,11034
7.64,9961,10918
7.66,9900,11031
7.68,9979,11068
7.7,9980,10964
7.72,9963,11052
7.74,9975,11091
7.76,10181,11202
7.78,10019,11076
7.8,9979,11050
7.82,9857,10993
7.84,9964,11132
7.86,10069,11041
7.88,9976,10997
7.9,9848,10908
7.92,9928,10996
7.94,9937,10963
7.96,10079,11055
7.98,10032,10976
8,9877,10954
8.02,10036,11041
8.04,9982,10990
8.06,9917,10766
8.08,9868,10901
8.1,9938,10949
8.12,9933,10968
8.14,9953,10851
8.16,9843,10941
8.18,9936,10934
8.2,9999,11061
8.22,10020,10981
8.24,9943,10848
8.26,9935,10984
8.28,10065,11058
8.3,9866,10929
8.32,9947,11030
8.34,9967,11026
8.36,10065,10967
8.38,9949,10974
8.4,10022,11097
8.42,10032,10901
8.44,9948,10929
8.46,9944,10795
8.48,9892,10931
8.5,9948,10933
8.52,9946,10880
8.54,9938,10741
8.56,9808,10879
8.58,9945,10776
8.6,9816,10825
8.62,9905,10860
8.64,9891,10865
8.66,9980,10905
8.68,9905,10800
8.7,9859,10796
8.72,9863,10827
8.74,9880,10834
8.76,9744,10767
8.78,9909,10913
8.8,10072,11028
8.82,9923,10931
8.84,9906,10824
8.86,9865,10883
8.88,9938,10903
8.9,9934,11058
8.92,10017,10954
8.94,9948,11009
8.96,9843,10887
8.98,9963,11026
9,9982,11019
9.02,10049,11091
9.04,9946,10899
9.06,9941,10959
9.08,9990,11073
9.1,10034,11048
9.12,9947,10939
9.14,9841,10848
9.16,9915,11008
9.18,9970,11045
9.2,10092,11076
9.22,9993,11033
9.24,9941,10929
9.26,9899,11016
9.28,9987,11078
9.3,9879,10990
9.32,9980,11068
9.34,9996,11071
9.36,10087,11221
9.38,10047,11009
